,Platform,Number,Store,Address,Review_score,Review_counts,ID,Date,Review_text
0,naver,1,대치동꽈배기,서울 강남구 도곡로 516 삼성상가 1층, 4.5, 446,Abracadabra Alakazam,2.2.금,꽈배기가 맛있는 집입니다. 항상 방문 할 때 마다 대 기가 좀 있어서 약간은 기다리셔야 합니다. 꽈배기의 쫄깃한 식감이 중독성이 있어서 가끔 생각나게...
1,naver,1,대치동꽈배기,서울 강남구 도곡로 516 삼성상가 1층, 4.5, 446,yong3994,3.28.목,친절하시고 가격도 저렴하고 맛있어요 !
2,naver,1,대치동꽈배기,서울 강남구 도곡로 516 삼성상가 1층, 4.5, 446,yong3994,3.27.수,갓 튀겨 주셔서 더 맛있어요 :)
3,naver,1,대치동꽈배기,서울 강남구 도곡로 516 삼성상가 1층, 4.5, 446,알비나20,1.25.목,"치즈볼이 다른 곳에서 먹어보지 못한 독특한 느낌입 니다. 출장갔다가 복귀하는 길에 맛있어 보여 직원들 간식으로 샀는데, 일부러라도 들러서 사먹고 ..."
4,naver,1,대치동꽈배기,서울 강남구 도곡로 516 삼성상가 1층, 4.5, 446,anastasia,3.24.일,좋아요좋아요좋아요
5,naver,1,대치동꽈배기,서울 강남구 도곡로 516 삼성상가 1층, 4.5, 446,ON9743,2.25.일,도넛 맛있습니다
6,naver,1,대치동꽈배기,서울 강남구 도곡로 516 삼성상가 1층, 4.5, 446,tom****,1.11.목,바로 나온 따끈한 꽈배기가 너무 맛있어요
7,naver,1,대치동꽈배기,서울 강남구 도곡로 516 삼성상가 1층, 4.5, 446,tom****,1.18.목,치즈볼이 맛있어요.
8,naver,1,대치동꽈배기,서울 강남구 도곡로 516 삼성상가 1층, 4.5, 446,낭만벤또,23.10.24.화,바로바로 튀겨줘서 더 맛있어요
9,naver,1,대치동꽈배기,서울 강남구 도곡로 516 삼성상가 1층, 4.5, 446,zenith5,3.17.일,좋아요
10,naver,1,대치동꽈배기,서울 강남구 도곡로 516 삼성상가 1층, 4.5, 446,zenith5,2.29.목,좋아요
11,naver,1,대치동꽈배기,서울 강남구 도곡로 516 삼성상가 1층, 4.5, 446,zenith5,2.25.일,좋아요
12,naver,1,대치동꽈배기,서울 강남구 도곡로 516 삼성상가 1층, 4.5, 446,eungjk,23.9.17.일,"대치동꽈배기 궁금해서 먹어봤는데 쫄깃쫄깃 넘 맛나
요! 생각보다 크기도 커서 두개 먹었는데 배부르더라
구요. 바로 튀겨주셔서 따뜻하게 먹을수있어서..."
13,naver,1,대치동꽈배기,서울 강남구 도곡로 516 삼성상가 1층, 4.5, 446,Supremo,23.12.24.일,
14,naver,1,대치동꽈배기,서울 강남구 도곡로 516 삼성상가 1층, 4.5, 446,휘게지기,23.11.24.금,
15,naver,1,대치동꽈배기,서울 강남구 도곡로 516 삼성상가 1층, 4.5, 446,elfylove,23.11.1.수,꽈배기 반죽이 쫄깃하고 맛있어요
16,naver,1,대치동꽈배기,서울 강남구 도곡로 516 삼성상가 1층, 4.5, 446,zenith5,2.13.화,좋아요
17,naver,1,대치동꽈배기,서울 강남구 도곡로 516 삼성상가 1층, 4.5, 446,zenith5,2.7.수,좋아요
18,naver,1,대치동꽈배기,서울 강남구 도곡로 516 삼성상가 1층, 4.5, 446,interC,23.10.20.금,"개당 천원, 6개 사면 5천원인데 모르고 4개 샀어요ㅠ 다음엔 6개 5천원 노려요!"
