,Platform,Number,Store,Address,Addr,Review_score,Review_counts,ID,Date,Review_text,Time
1,Kakao,1,브레드칸청량리점,서울 동대문구 왕산로 268-1 (전농동),서울 동대문구,4.5,35.0,맛도리,2024.03.14.,"진짜진짜진짜 맛있고 저렴해요 ㅜㅜ
생크림스틱 크림 많고 야무지구요
무화과빵 엄청 큰데 5000원밖에 안해서 사봤는데 무화과 좋아하시면 꼭 드십쇼 무화과 짱 많이 들어있어요!
소분해서 냉동실에 두고 하나씩 꺼내먹었는데 존맛탱
다른 빵들도 털러 가야지",2024-04-06 - 16:46:22
3,Kakao,1,브레드칸청량리점,서울 동대문구 왕산로 268-1 (전농동),서울 동대문구,4.5,35.0,빨간피망,2024.02.23.,아몬드머핀 두개짜리 사먹었는데 이틀 설사함 ㅜㅜ 첫방문인데 이제 안갈듯.,2024-04-06 - 16:47:11
4,Kakao,1,브레드칸청량리점,서울 동대문구 왕산로 268-1 (전농동),서울 동대문구,4.5,35.0,수수,2024.01.30.,몇번 사먹어 봤는데 늘 맛있네요~가격도 저렴하고 빵 종류도 다양하고 케이크도 크기별로 있어요! 영업하시다 보면 힘든 일도 많을 텐데 항상 밝게 웃어주시는 친절한 사장님 앞으로도 계속 웃을 일이 많으심 좋겠네요,2024-04-06 - 16:47:30
5,Kakao,1,브레드칸청량리점,서울 동대문구 왕산로 268-1 (전농동),서울 동대문구,4.5,35.0,블랙펜서,2023.10.07.,개인빵집인데도 맛은기본 가격은 더 기본..사장님친절..카드결제하기 미안할정도로 싸요.,2024-04-06 - 16:47:50
6,Kakao,1,브레드칸청량리점,서울 동대문구 왕산로 268-1 (전농동),서울 동대문구,4.5,35.0,김예린,2023.09.26.,사장님 친절하세요 감사해요,2024-04-06 - 16:48:09
8,Kakao,1,브레드칸청량리점,서울 동대문구 왕산로 268-1 (전농동),서울 동대문구,4.5,35.0,✨,2023.07.07.,가성비 너무 좋고 맛있구.. 깨찰빵이 진짜 맛있어용😍,2024-04-06 - 16:48:58
9,Kakao,1,브레드칸청량리점,서울 동대문구 왕산로 268-1 (전농동),서울 동대문구,4.5,35.0,able,2023.07.05.,저렴한 가격,2024-04-06 - 16:49:18
10,Kakao,1,브레드칸청량리점,서울 동대문구 왕산로 268-1 (전농동),서울 동대문구,4.5,35.0,맛집찾아가는진돗개,2023.06.04.,"시몬빵, 맘모스빵 맛집. 
맘모스빵 좀 많이 만들어주세요 ㅠㅠ제발...",2024-04-06 - 16:49:37
12,Kakao,1,브레드칸청량리점,서울 동대문구 왕산로 268-1 (전농동),서울 동대문구,4.5,35.0,냠누,2023.05.08.,싸고 맛있긴 한데... 너무 달아요. 재료 질이 그렇게 좋진 않은것 같은 느낌 먹고나면 너무 달아서 피곤함,2024-04-06 - 16:50:26
14,Kakao,1,브레드칸청량리점,서울 동대문구 왕산로 268-1 (전농동),서울 동대문구,4.5,35.0,.,2023.04.16.,이집 빵 먹으려고 태어남,2024-04-06 - 16:51:15
