,Unnamed: 0,Platform,Number,Store,Address,Addr,Review_score,Review_counts,ID,Date,Review_text,Time
0,0,Kakao,1,만동제과,서울 서대문구 연희로 32 1층 (창천동),서울 서대문구,4.3,303.0,으앙,2024.04.03.,"입장하자마자 엉.덩.이빵이 앞에 있어서 넘 웃겼어요 ... 들어가니 직원분이 카운터에서 나오셔서 시식빵을 직접 바로 잘라주셨는데 너무 촉촉하고 맛있었어요 (크랜베리랑 프레첼이랑 쑥떡쑥떡) 특히 프레첼 너무 맛있어서 사고싶었는데 많이사가면 다 못먹을 것 같아 마늘 바게트와 치즈말랑 하나만 샀는데 다음에 가면 다른거도 사볼거같아요 :) 

마늘바게트가 받아보니 굉장히 묵직하더라구요 강릉 가는 지인한테 부탁했었는데 못샀었는데 서울에 분점있어서 넘 좋아요!",2024-04-05 - 10:26:39
1,1,Kakao,1,만동제과,서울 서대문구 연희로 32 1층 (창천동),서울 서대문구,4.3,303.0,기사님맛집으로갑시다,2024.04.03.,정보없음,2024-04-05 - 10:27:06
2,2,Kakao,1,만동제과,서울 서대문구 연희로 32 1층 (창천동),서울 서대문구,4.3,303.0,도도,2024.03.25.,마늘바게트 맛있지만 너무 달아서 아쉬웠어요,2024-04-05 - 10:27:25
3,3,Kakao,1,만동제과,서울 서대문구 연희로 32 1층 (창천동),서울 서대문구,4.3,303.0,이승윤,2024.03.24.,여기 밤식빵 진짜 밤 많이 들어가고 맛있는데 사진은 거의 마늘빵이네,2024-04-05 - 10:27:43
4,4,Kakao,1,만동제과,서울 서대문구 연희로 32 1층 (창천동),서울 서대문구,4.3,303.0,미미민,2024.03.24.,"마늘바게트 진짜 개ㅐ개ㅐㅐㅐ맛있어요 
저녁에 방문했는데도 마늘바게트는 충분했습니다
좀 비싼감이 있지만…… 매일 먹고 싶어요 정말ㄹ루 알ㄹ라뷰",2024-04-05 - 10:28:02
5,5,Kakao,1,만동제과,서울 서대문구 연희로 32 1층 (창천동),서울 서대문구,4.3,303.0,우설이,2024.03.23.,"현재 기준, 맛으로 종합 1위 인정합니다. 다만, 마늘 바게트가 다른 곳보다 맛있지는 않아요. 다른 빵들이 맛있습니다. 단점은 빵들이 너무 달아요. 디저트빵만 있는 듯?",2024-04-05 - 10:28:20
6,6,Kakao,1,만동제과,서울 서대문구 연희로 32 1층 (창천동),서울 서대문구,4.3,303.0,뭉실뭉실,2024.03.19.,맛있음 ㅜㅜ 오픈때가야 따듯하고 진짜 존맛,2024-04-05 - 10:28:39
7,7,Kakao,1,만동제과,서울 서대문구 연희로 32 1층 (창천동),서울 서대문구,4.3,303.0,kaamos,2024.03.13.,정보없음,2024-04-05 - 10:29:07
8,8,Kakao,1,만동제과,서울 서대문구 연희로 32 1층 (창천동),서울 서대문구,4.3,303.0,맛없는거 먹으면 화냄,2024.03.09.,"마늘바게트 이외에 다른빵도 다 맛나요!
강릉점이랑 맛도 똑같아용",2024-04-05 - 10:29:25
9,9,Kakao,1,만동제과,서울 서대문구 연희로 32 1층 (창천동),서울 서대문구,4.3,303.0,*,2024.03.06.,마늘바게트 정말 달고 기름져서 한번에 많이는 못 먹을 거 같아요! 그래도 맛있습니다,2024-04-05 - 10:29:44
