,Platform,Number,Store,Address,Addr,Review_score,Review_counts,ID,Date,Review_text,Time
0,Kakao,1,나폴레옹과자점성북본점,서울 성북구 성북로 7 (성북동1가),서울 성북구,3.0,162.0,이쁜애,2024.03.10.,난 맛이없어 왜?ㅠㅜㅠㅠㅠ,2024-04-04 - 23:20:17
1,Kakao,1,나폴레옹과자점성북본점,서울 성북구 성북로 7 (성북동1가),서울 성북구,3.0,162.0,abc,2024.03.06.,"비싼값하는 빵집
맛있다",2024-04-04 - 23:20:33
2,Kakao,1,나폴레옹과자점성북본점,서울 성북구 성북로 7 (성북동1가),서울 성북구,3.0,162.0,gestalt,2024.03.03.,"오전 11시경에는 빵이 별로 없다.

내가 고른 빵들은 모두 달았다

유럽왕실디저트인가의 과대포장에 실소.

커피 없고, 
커피 없다고 말하는 직원 매우 불친절

가봤다는 사실에 의의를 둔다.",2024-04-04 - 23:20:49
3,Kakao,1,나폴레옹과자점성북본점,서울 성북구 성북로 7 (성북동1가),서울 성북구,3.0,162.0,San-A,2024.03.01.,정보없음,2024-04-04 - 23:21:12
4,Kakao,1,나폴레옹과자점성북본점,서울 성북구 성북로 7 (성북동1가),서울 성북구,3.0,162.0,엥프피,2024.02.21.,파리바게트 상위호환,2024-04-04 - 23:21:28
5,Kakao,1,나폴레옹과자점성북본점,서울 성북구 성북로 7 (성북동1가),서울 성북구,3.0,162.0,WELCOME 진수성...,2024.01.30.,"취식의 거의 불가...
커피 없음...",2024-04-04 - 23:21:44
6,Kakao,1,나폴레옹과자점성북본점,서울 성북구 성북로 7 (성북동1가),서울 성북구,3.0,162.0,박현주,2024.01.08.,정보없음,2024-04-04 - 23:22:07
7,Kakao,1,나폴레옹과자점성북본점,서울 성북구 성북로 7 (성북동1가),서울 성북구,3.0,162.0,jjang,2024.01.06.,정보없음,2024-04-04 - 23:22:31
8,Kakao,1,나폴레옹과자점성북본점,서울 성북구 성북로 7 (성북동1가),서울 성북구,3.0,162.0,오이오이!,2023.12.23.,저는 여기 좋은데.... 30년 가까이 다녔는데 딱히 저에겐 불친절하다는 느낌은 받은 적은 없어요.,2024-04-04 - 23:22:47
9,Kakao,1,나폴레옹과자점성북본점,서울 성북구 성북로 7 (성북동1가),서울 성북구,3.0,162.0,이두실,2023.11.24.,맛있는데 직원들이 너무 불친절해요 그런데 왜 불친절한지 알거같음 너무 바쁜데 그에 비해 직원이 너무 없어요…,2024-04-04 - 23:23:02
10,Kakao,1,나폴레옹과자점성북본점,서울 성북구 성북로 7 (성북동1가),서울 성북구,3.0,162.0,..,2023.11.17.,케이크시트지에 종이는떼고하시지그랬어요ㅋㅋ개대충만드쇼 ?,2024-04-04 - 23:23:18
11,Kakao,1,나폴레옹과자점성북본점,서울 성북구 성북로 7 (성북동1가),서울 성북구,3.0,162.0,전찬성,2023.10.23.,맛은 괜찮지만 가격 너무 겁나게 오른다,2024-04-04 - 23:23:34
12,Kakao,1,나폴레옹과자점성북본점,서울 성북구 성북로 7 (성북동1가),서울 성북구,3.0,162.0,잠봉베르,2023.10.12.,식빵빼고는 전반적으로 고당도라서 좀만 먹어도 금방 질리게됨,2024-04-04 - 23:23:50
13,Kakao,1,나폴레옹과자점성북본점,서울 성북구 성북로 7 (성북동1가),서울 성북구,3.0,162.0,ㅇㅇ,2023.09.13.,정보없음,2024-04-04 - 23:24:13
14,Kakao,1,나폴레옹과자점성북본점,서울 성북구 성북로 7 (성북동1가),서울 성북구,3.0,162.0,이지호,2023.08.29.,정보없음,2024-04-04 - 23:24:37
15,Kakao,1,나폴레옹과자점성북본점,서울 성북구 성북로 7 (성북동1가),서울 성북구,3.0,162.0,박창남,2023.08.24.,정보없음,2024-04-04 - 23:25:00
16,Kakao,1,나폴레옹과자점성북본점,서울 성북구 성북로 7 (성북동1가),서울 성북구,3.0,162.0,손 Ha수,2023.08.22.,조아요~^,2024-04-04 - 23:25:16
17,Kakao,1,나폴레옹과자점성북본점,서울 성북구 성북로 7 (성북동1가),서울 성북구,3.0,162.0,33,2023.08.12.,비싸고 맛은 보통. 영혼 없는 직원들. .,2024-04-04 - 23:25:32
18,Kakao,1,나폴레옹과자점성북본점,서울 성북구 성북로 7 (성북동1가),서울 성북구,3.0,162.0,냠,2023.08.09.,"옛날에는 작은스콘을 바구니에 넣어서 개당 300~500원이라 오가며 사먹고 과일페스츄리(?)도 있고 뭔가 다양했는데..아쉽

개인적으로 여기 케이크를 좋아해서 5점줌",2024-04-04 - 23:25:47
19,Kakao,1,나폴레옹과자점성북본점,서울 성북구 성북로 7 (성북동1가),서울 성북구,3.0,162.0,Juna Della,2023.08.06.,정보없음,2024-04-04 - 23:26:11
20,Kakao,1,나폴레옹과자점성북본점,서울 성북구 성북로 7 (성북동1가),서울 성북구,3.0,162.0,맛잘알,2023.07.19.,빵 진짜 맛있음 많이 파십쇼,2024-04-04 - 23:26:27
21,Kakao,1,나폴레옹과자점성북본점,서울 성북구 성북로 7 (성북동1가),서울 성북구,3.0,162.0,정다빈,2023.07.13.,정보없음,2024-04-04 - 23:26:51
22,Kakao,1,나폴레옹과자점성북본점,서울 성북구 성북로 7 (성북동1가),서울 성북구,3.0,162.0,밝게빛이나는길을찾아,2023.07.03.,비싸다...빵 맛도...호불호가 갈린다.,2024-04-04 - 23:27:07
23,Kakao,1,나폴레옹과자점성북본점,서울 성북구 성북로 7 (성북동1가),서울 성북구,3.0,162.0,Sunshine,2023.07.01.,기대가 높았던 탓인가요. 명성에 비해 맛이나 가격이나 양 모두 아쉬었습니다. 다만 서비스나 주차발렛은 좋네요.,2024-04-04 - 23:27:23
24,Kakao,1,나폴레옹과자점성북본점,서울 성북구 성북로 7 (성북동1가),서울 성북구,3.0,162.0,혜진,2023.06.25.,정보없음,2024-04-04 - 23:27:46
