,Platform,Number,Store,Address,Addr,Review_score,Review_counts,ID,Date,Review_text,Time
0,Kakao,1,태극당,서울 중구 동호로24길 7 (장충동2가),서울 중구,3.3,273.0,awfke,2024.04.02.,너무 불친절해서 상처입었어요,2024-04-07 - 01:27:43
1,Kakao,1,태극당,서울 중구 동호로24길 7 (장충동2가),서울 중구,3.3,273.0,호빵맨,2024.03.31.,유명해서먹어봤는데 특별한건모르겠어요 가격은확실히비쌈 치즈올리브 치아바타는 먹지마세요 치아바타안이  너무두껍고딱딱해요 올리브를 너무다져넣어서 향만 나고 치즈는 겉에만붙어있어요,2024-04-07 - 01:27:56
2,Kakao,1,태극당,서울 중구 동호로24길 7 (장충동2가),서울 중구,3.3,273.0,댓글 알바 보안관,2024.03.30.,엄청나지 않은 맛 & 엄청난 가격,2024-04-07 - 01:28:10
3,Kakao,1,태극당,서울 중구 동호로24길 7 (장충동2가),서울 중구,3.3,273.0,김동완,2024.03.30.,"신선한 맛
가격은 사악식",2024-04-07 - 01:28:23
4,Kakao,1,태극당,서울 중구 동호로24길 7 (장충동2가),서울 중구,3.3,273.0,이태양,2024.03.09.,전통과 맛이 좋아요!!,2024-04-07 - 01:28:36
5,Kakao,1,태극당,서울 중구 동호로24길 7 (장충동2가),서울 중구,3.3,273.0,바닐라라떼,2024.03.05.,정보 없음,2024-04-07 - 01:28:56
6,Kakao,1,태극당,서울 중구 동호로24길 7 (장충동2가),서울 중구,3.3,273.0,경량패딩,2024.02.29.,"알바했던 친구가 여기 바퀴벌레 개많이 나오는거 보고
다시는 안먹는다고 함
바퀴벌레빵 맛도리집.",2024-04-07 - 01:29:09
7,Kakao,1,태극당,서울 중구 동호로24길 7 (장충동2가),서울 중구,3.3,273.0,다비드,2024.02.28.,"장인정신이 깃든 탄탄한 재료와 정성이 들어간
가성비 넘치는 빵은 익히 알고있었지만
오늘은 커피가 넘 좋았어요
커피전문점들 긴장하시고 태극당 커피 맛 한번 시음하셔야 할 것같아요~~",2024-04-07 - 01:29:23
8,Kakao,1,태극당,서울 중구 동호로24길 7 (장충동2가),서울 중구,3.3,273.0,仙人掌,2024.02.26.,"뭔가 불친절하고, 맛도 이름에 비해서는 잘 모르겠습니다.",2024-04-07 - 01:29:36
9,Kakao,1,태극당,서울 중구 동호로24길 7 (장충동2가),서울 중구,3.3,273.0,CakelovePOE...,2024.02.25.,모나카 아이스크림은 이곳이 제일 맛있네요.,2024-04-07 - 01:29:49
10,Kakao,1,태극당,서울 중구 동호로24길 7 (장충동2가),서울 중구,3.3,273.0,_nx,2024.02.18.,"달지 않은 빵맛, 비싼가격",2024-04-07 - 01:30:02
