,Platform,Number,Store,Address,addr,Review_score,Review_counts,ID,Date,Review_text
0,Kakao,1,쿠아레비 역촌점,서울 은평구 진흥로 101 1층 (역촌동),서울 은평구,4.4,12.0,짭짭박사,2024.01.13.,정보 없음
1,Kakao,1,쿠아레비 역촌점,서울 은평구 진흥로 101 1층 (역촌동),서울 은평구,4.4,12.0,하리보,2023.12.25.,뭔데 이렇게 맛있으세여....앙버터 별로 안 좋아하는데 크게 늦게 하지 않아서 많이 먹을 수 있었고 올리브랑 견과류 들어간 빵도 처음먹어보는 맛인데 너무 촉촉하고 맛있어요ㅠㅠ 추천 받아서 온 곳인데 너무 만족 했습니다!!
2,Kakao,1,쿠아레비 역촌점,서울 은평구 진흥로 101 1층 (역촌동),서울 은평구,4.4,12.0,꼬로록,2023.09.21.,"앙버터 맛있네유
일단 빵이 맛있고 팥도 맛있어요 팥 식감도 있고 너무달지않아서 부담이 없고 버터향도 잘 느껴져용
원래 좀 겉이 딱딱한 빵 안좋아하는데 이건 빵이 맛있네여 바삭하구..
바질크림치즈베이글 먹을만해요 꽤 새콤함
아메리카노는 쏘쏘..
글구 캐릭터가 기여어"
3,Kakao,1,쿠아레비 역촌점,서울 은평구 진흥로 101 1층 (역촌동),서울 은평구,4.4,12.0,꾸,2023.06.26.,빵 맛있고 친절하세요
4,Kakao,1,쿠아레비 역촌점,서울 은평구 진흥로 101 1층 (역촌동),서울 은평구,4.4,12.0,봄,2023.02.28.,"씹으면 씹을수록 고소해서 역촌역가면 항상 구매해요!
건강빵인데 메뉴도 꽤 많아요ㅎㅎㅎ 추천합니다!"
5,Kakao,1,쿠아레비 역촌점,서울 은평구 진흥로 101 1층 (역촌동),서울 은평구,4.4,12.0,개과천선,2022.02.09.,정보 없음
6,Kakao,1,쿠아레비 역촌점,서울 은평구 진흥로 101 1층 (역촌동),서울 은평구,4.4,12.0,.,2021.11.26.,크기도 작아지고 재료도 질이 낮아진것 같아서 아쉽습니다.
7,Kakao,1,쿠아레비 역촌점,서울 은평구 진흥로 101 1층 (역촌동),서울 은평구,4.4,12.0,hummel,2021.07.06.,소비자의 마음을 아는 베에커리카페는 이동네에서 여기가 유일한것 같음..
8,Kakao,1,쿠아레비 역촌점,서울 은평구 진흥로 101 1층 (역촌동),서울 은평구,4.4,12.0,미부,2021.05.29.,정보 없음
9,Kakao,1,쿠아레비 역촌점,서울 은평구 진흥로 101 1층 (역촌동),서울 은평구,4.4,12.0,맛따라멋따라,2021.01.26.,"치아바타랑 깜빠뉴, 올리브 마카다미아빵 샀는데 만족스럽네요 재방문 의사 백프로에요"
10,Kakao,1,쿠아레비 역촌점,서울 은평구 진흥로 101 1층 (역촌동),서울 은평구,4.4,12.0,뮤,2020.12.14.,맛있어요~ 아침에 사온 보람이 있네요
11,Kakao,1,쿠아레비 역촌점,서울 은평구 진흥로 101 1층 (역촌동),서울 은평구,4.4,12.0,Julia Baek ...,2018.03.01.,"동네에 이런 맛집이라고 하기엔 명칭이 애매하지만
품질 좋은 빵집이 있는게 참 좋아요~~^^
가끔 곡물빵 종류별로 먹는데 씹는 맛도 있고 추천해요"
12,Kakao,2,라이언베이커,서울 은평구 증산로17길 22-1 1층 (신사동),서울 은평구,4.9,35.0,몽,2024.02.20.,명란감태소금빵 맛있어요!
13,Kakao,2,라이언베이커,서울 은평구 증산로17길 22-1 1층 (신사동),서울 은평구,4.9,35.0,bb2828,2024.01.30.,"내 마음 속 은평구 1위 빵집...
아직까지 실패한 빵이 없고 새로운 빵도 나와서 질리지 않는 맛...
바닐라크림 파네토네, 초코바나나티크레, 모든 버터핀 사랑해...
라떼도 미친 맛이니까 추운날 꼭 마시기..."
14,Kakao,2,라이언베이커,서울 은평구 증산로17길 22-1 1층 (신사동),서울 은평구,4.9,35.0,리방실,2024.01.27.,"이제 가족 케이크집은 이곳으로 픽♡ 
생크림 하나도 안느끼하고 맛있어요!! 딸기도 달다구리 가성비 맛 다잡음"
15,Kakao,2,라이언베이커,서울 은평구 증산로17길 22-1 1층 (신사동),서울 은평구,4.9,35.0,토리,2024.01.21.,동네에 이런 빵집이 존재함에 감사합니다.. 은평구의 자랑 은평구의 희망 라이언베이커... 오래오래 함께해요..
16,Kakao,2,라이언베이커,서울 은평구 증산로17길 22-1 1층 (신사동),서울 은평구,4.9,35.0,R,2023.11.19.,"너무 맛있어요
뒷산 고양이도 너무 귀엽고
테이블에 자국들이 궁금해서 여쭤보니
타공판? 식빵판? 올려두고 열기 때문에 자국이 남는거라고 하시고 곧 테이블 다 바꾸신다네요 ㅎㅎㅎ 역시 친절한 사장님 !"
17,Kakao,2,라이언베이커,서울 은평구 증산로17길 22-1 1층 (신사동),서울 은평구,4.9,35.0,@-@,2023.11.19.,음료와 빵 둘 다 맛있어요! 소금빵 찐 맛집 인정
18,Kakao,2,라이언베이커,서울 은평구 증산로17길 22-1 1층 (신사동),서울 은평구,4.9,35.0,haco,2023.11.08.,"빵맛은 맛있고 직원분들도 친절하고 좋았어요~
근데 위생이...청소를 좀더 하시는게 좋을거같아요~
손님 먹고갈 테이블에 신발자국이 있더라고요..
올라가서 작업하셨는지.."
19,Kakao,2,라이언베이커,서울 은평구 증산로17길 22-1 1층 (신사동),서울 은평구,4.9,35.0,b2,2023.10.29.,"빵 맛있어서 별점은 5개주지만 
그동안 갔을때 직원분들 친절했는데
주말 여자직원분 불친절… 
바쁘신건 아는데 맘상함"
20,Kakao,2,라이언베이커,서울 은평구 증산로17길 22-1 1층 (신사동),서울 은평구,4.9,35.0,뚱이,2023.10.23.,진짜 맛있고 밥보다 빵을 좋아했다면 매일 가서 소금빵 사먹었을 것 같아요
21,Kakao,2,라이언베이커,서울 은평구 증산로17길 22-1 1층 (신사동),서울 은평구,4.9,35.0,감귤,2023.09.30.,소금빵 맛집 생각나는 맛
22,Kakao,2,라이언베이커,서울 은평구 증산로17길 22-1 1층 (신사동),서울 은평구,4.9,35.0,sumsum,2023.09.26.,소금빵 많이 팔지만 맛있는 덴 많지 않은데 진짜 맛있어요 구리고 치아바타 완전 부드럽고 쫄깃하고 고소해요. 요즘 잘 없는데 시나몬롤도 팔아서 좋아요 ...! 산 모든 빵을 다 맛있게 먹었어요... 동네에 이런데가 있다니🥹
23,Kakao,2,라이언베이커,서울 은평구 증산로17길 22-1 1층 (신사동),서울 은평구,4.9,35.0,오라이빡구,2023.09.14.,"우리동네에 이런곳이 생기다니....감덩
빵를 많이 먹지않았었는데
소금빵 먹고 빵순이됨
진짜 맛있어요🙏🏽
케잌도 생일때 주문해서 먹엇는데
생크림이 느끼하지 않고 넘 맛있었음 굿👍🏽👍🏽"
24,Kakao,2,라이언베이커,서울 은평구 증산로17길 22-1 1층 (신사동),서울 은평구,4.9,35.0,B,2023.09.06.,"누추한 곳(?) 에 귀한 빵집 ❤️
개개개개ㅐㄱ개개 맛있음 ㅠㅠ 사랑해요, 새절에서 떠나면 안대~~~"
25,Kakao,2,라이언베이커,서울 은평구 증산로17길 22-1 1층 (신사동),서울 은평구,4.9,35.0,눈의띠네,2023.08.31.,명란감태소금빵
26,Kakao,2,라이언베이커,서울 은평구 증산로17길 22-1 1층 (신사동),서울 은평구,4.9,35.0,아름다운봄,2023.07.10.,신사동 골목에 숨어있는 베이커리 카페
27,Kakao,2,라이언베이커,서울 은평구 증산로17길 22-1 1층 (신사동),서울 은평구,4.9,35.0,어쩌구,2023.07.09.,대파크림치즈 소금빵 존맛탱~
28,Kakao,2,라이언베이커,서울 은평구 증산로17길 22-1 1층 (신사동),서울 은평구,4.9,35.0,푸다뱅,2023.06.11.,소금빵 기가 막힙니다👍 꼭 드세여
29,Kakao,2,라이언베이커,서울 은평구 증산로17길 22-1 1층 (신사동),서울 은평구,4.9,35.0,Evelyn (홍매),2023.06.10.,정보 없음
30,Kakao,2,라이언베이커,서울 은평구 증산로17길 22-1 1층 (신사동),서울 은평구,4.9,35.0,이니맘림,2023.05.22.,정보 없음
31,Kakao,2,라이언베이커,서울 은평구 증산로17길 22-1 1층 (신사동),서울 은평구,4.9,35.0,Joo,2023.05.11.,동네에서 소금빵 먹을수있어 넘 좋아요
32,Kakao,2,라이언베이커,서울 은평구 증산로17길 22-1 1층 (신사동),서울 은평구,4.9,35.0,오리너굴,2023.05.09.,"이 시대의 소금빵 맛집👍
커피도 맛나요"
33,Kakao,2,라이언베이커,서울 은평구 증산로17길 22-1 1층 (신사동),서울 은평구,4.9,35.0,sky,2023.04.17.,"빵과 커피 맛집 ❤️🧡💛💚💙
트러플치즈치아바타 추천"
34,Kakao,2,라이언베이커,서울 은평구 증산로17길 22-1 1층 (신사동),서울 은평구,4.9,35.0,뇸,2023.03.27.,소금빵 먹으러 자주 가는 곳
35,Kakao,2,라이언베이커,서울 은평구 증산로17길 22-1 1층 (신사동),서울 은평구,4.9,35.0,yundal,2023.02.25.,"이동네사는데 오늘 처음가봤어요.
빵맛에 반했어요ㅋ
친절하시고 커피도 맛있어요ㅎㅎ
자주올것같아요."
36,Kakao,2,라이언베이커,서울 은평구 증산로17길 22-1 1층 (신사동),서울 은평구,4.9,35.0,냠,2023.02.19.,"은평구 최고베이커리,,,🥹
증말 빵 하나같이 다 너무맛있어오"
37,Kakao,2,라이언베이커,서울 은평구 증산로17길 22-1 1층 (신사동),서울 은평구,4.9,35.0,ㄷㅇ,2023.02.19.,정보 없음
38,Kakao,2,라이언베이커,서울 은평구 증산로17길 22-1 1층 (신사동),서울 은평구,4.9,35.0,밤구,2023.01.22.,"빵 맛있고 매장도 깔끔하고 직원분들 친절하시고
커피는 디카페인에 두유 옵션까지 있을 정도로 음료 메뉴도 다양해서 좋습니다. 가까이 사시는 동네 분들이 부럽네요!"
39,Kakao,2,라이언베이커,서울 은평구 증산로17길 22-1 1층 (신사동),서울 은평구,4.9,35.0,norm,2022.12.31.,빵 커피 둘 다 너무 맛있어요. 저희 동네에서 이런 베이커리 카페가 있었으면 좋겠어요
40,Kakao,2,라이언베이커,서울 은평구 증산로17길 22-1 1층 (신사동),서울 은평구,4.9,35.0,jieun,2022.12.17.,나만 알고 싶은데 소문이 벌써 났네요^^
41,Kakao,2,라이언베이커,서울 은평구 증산로17길 22-1 1층 (신사동),서울 은평구,4.9,35.0,CC,2022.11.10.,이런 동네 빵집이 있다는 게 너무 소중해요ㅜ
42,Kakao,2,라이언베이커,서울 은평구 증산로17길 22-1 1층 (신사동),서울 은평구,4.9,35.0,heeeeees,2022.10.22.,빵도 맛있고 커피도 너무너무 맛있어요💕
43,Kakao,2,라이언베이커,서울 은평구 증산로17길 22-1 1층 (신사동),서울 은평구,4.9,35.0,이히,2022.09.13.,"이런 카페가 집근처에 있어서 좋네요~

소금빵 진짜 맛있어요~

친절하게 메뉴도 추천해주셔서 도움 됐어요~ 
감사합니다~😊"
