,Number,Store,Address,Review_score,Review_counts,ID,Date,Review_text
0,1,코운코운,서울 마포구 와우산로3길 16 석진스토리 104호, 4.66, 127,똘똘최군,23.12.24.일,여기 딸기 케이크 시트가... 진짜 촉촉하면서 부드러 워요!! 보통 과일이 들어간 케이크는 먹지 말라는데... 무조건 먹어요!!! 두 번 먹어!! 세 번 먹어!! 그리...
1,1,코운코운,서울 마포구 와우산로3길 16 석진스토리 104호, 4.66, 127,응한입만,1.27.토,잊을만하면 생각나고 신메뉴가 생기면 달려가서 사먹 어요! 제가 집이 하남인데.. 코운코운 덕분에 요까지 달려와서 사먹습니당🥹 여기보다 더 맛있는 ...
2,1,코운코운,서울 마포구 와우산로3길 16 석진스토리 104호, 4.66, 127,토론토토로,23.12.9.토,빵모임을 하고있는데 한 분이 가보고 싶다고 하셔서 처음 방문했어요!! 우선 첫번째로 눈이 즐겁고 케익과 산도가 너무 맛있더라구요!! 코운코운 캐릭터...
3,1,코운코운,서울 마포구 와우산로3길 16 석진스토리 104호, 4.66, 127,에슝,23.10.28.토,10월에 무화과 시즌 끝이라는 공지보고 달려감ㅜ 항 상 맛있는 코운코운이지만 제 철 과 일 미 쳤 다 무화 과 맛있는 곳 찾기 힘들거든요 근데 진짜 맛있...
4,1,코운코운,서울 마포구 와우산로3길 16 석진스토리 104호, 4.66, 127,RoyalMilkTea 로얄밀크티,23.7.7.금,"쉬폰산도는 퐁신한 빵의 촉촉한 식감이 매력적으로 산도 종류에 따라 개성있는 다양한 크림, 토핑이 들어 있어 고르는 재미가 있네요! 시오바닐라쉬폰산..."
5,1,코운코운,서울 마포구 와우산로3길 16 석진스토리 104호, 4.66, 127,소피7796,23.11.18.토,"코운코운 드디어 입성! ㅠㅠ 역시 인기있는 맛은 한개씩밖에 안남아서 제가 쓸어왔습니다..
넘 맛있어요!!"
6,1,코운코운,서울 마포구 와우산로3길 16 석진스토리 104호, 4.66, 127,yw****,23.10.28.토,"주말에 기회가 잘 없었지만 방문 했습니다! 
로고? 캐릭터? 정말 귀여워요ㅋㅋ 디저트도 다음에 또 먹어보고 싶운 비주얼&맛이였습니당!"
7,1,코운코운,서울 마포구 와우산로3길 16 석진스토리 104호, 4.66, 127,hsm1025,1.6.토,코운코운
8,1,코운코운,서울 마포구 와우산로3길 16 석진스토리 104호, 4.66, 127,별바라기255,23.12.2.토,맛있어요
9,1,코운코운,서울 마포구 와우산로3길 16 석진스토리 104호, 4.66, 127,에슝,23.4.15.토,시오바닐라 산도는 받자마자 꺼내먹어서 사진이 없고 친구가 샀던 금귤산도로!! ☁️진 짜 폭 신 말 랑☁️ 시 오바닐라산도는 쉬폰에 크림 그리고 아~주 부...
10,1,코운코운,서울 마포구 와우산로3길 16 석진스토리 104호, 4.66, 127,에슝,23.5.6.토,1)쑥라즈베리쉬폰산도 2)솔티카라멜쉬폰산도 홍대 상수 합정 망원 하여튼 이 근처 온다하면 첫번째로 방 문하는 곳 왜냐면 3시만 넘어가면 거의 다 팔렸...
11,1,코운코운,서울 마포구 와우산로3길 16 석진스토리 104호, 4.66, 127,gom****,23.11.25.토,좋아요맛이
12,1,코운코운,서울 마포구 와우산로3길 16 석진스토리 104호, 4.66, 127,주로상수연남마포,23.7.21.금,쉬폰 폭신하고 맛있어요
13,1,코운코운,서울 마포구 와우산로3길 16 석진스토리 104호, 4.66, 127,슈2861,23.3.18.토,쉬폰 맛집 코운코운 .. 💗 먹느라 바빠 사진은 없지만 .... 예약도 돼서 편하게 구매 가능해서 좋아요🫶🏻
14,1,코운코운,서울 마포구 와우산로3길 16 석진스토리 104호, 4.66, 127,sle****,23.1.14.토,크림이 튀지않고 적당히 달아서 딸기랑 조화가 좋아요
15,1,코운코운,서울 마포구 와우산로3길 16 석진스토리 104호, 4.66, 127,나8578,23.4.22.토,오늘도 순삭예정
16,1,코운코운,서울 마포구 와우산로3길 16 석진스토리 104호, 4.66, 127,해피데이6526,23.3.11.토,모든 메뉴를 먹어보지는 못했지만 항상 구매할때마다 입이 황홀해요! 쉬폰산도 진짜 최고예요!!
