,Platform,Number,Store,Address,Review_score,Review_counts,ID,Date,Review_text,Time
0,naver,2,곤트란쉐리에 도화서길,서울 종로구 율곡로 24,, 14,납작Peach,23.3.27.월,창덕궁 꽃구경 갔다가 들른 카페인데 인테리어랑 뷰가 너무 좋네요,2024-04-05 - 00:21:34
1,naver,2,곤트란쉐리에 도화서길,서울 종로구 율곡로 24,, 14,Agio짱,23.4.15.토,오늘처럼 비온후 날씨 좋은날 최고의 야외 테라스자리,2024-04-05 - 00:21:34
2,naver,2,곤트란쉐리에 도화서길,서울 종로구 율곡로 24,, 14,종로맛선생,23.3.20.월,"3월초에 재오픈했다고 하네요.
바깥에서 이야기하면서 먹기 좋아요. : )",2024-04-05 - 00:21:34
3,naver,2,곤트란쉐리에 도화서길,서울 종로구 율곡로 24,, 14,미정3983,22.12.2.금,좋아요~,2024-04-05 - 00:21:34
4,naver,2,곤트란쉐리에 도화서길,서울 종로구 율곡로 24,, 14,올리4371,22.12.10.토,빵 맛나요,2024-04-05 - 00:21:34
5,naver,2,곤트란쉐리에 도화서길,서울 종로구 율곡로 24,, 14,최아현72,22.8.6.토,영수증인증,2024-04-05 - 00:21:34
6,naver,2,곤트란쉐리에 도화서길,서울 종로구 율곡로 24,, 14,최아현72,22.7.15.금,영수증인증,2024-04-05 - 00:21:34
7,naver,6,맛나베이커리,서울 종로구 종로51길 30 맛나베이커리,, 16,초이쁜,23.5.28.일,빵이 화려하진 않지만 갈때마다 빵 여러개 사오게 되네요.,2024-04-05 - 00:22:03
8,naver,6,맛나베이커리,서울 종로구 종로51길 30 맛나베이커리,, 16,ptk00,23.6.17.토,굿,2024-04-05 - 00:22:03
9,naver,6,맛나베이커리,서울 종로구 종로51길 30 맛나베이커리,, 16,구일ㅇ,23.3.22.수,"옛날에 자주먹던 빵들이 많아요
빵이 아주 가격도 좋고 맛있어요 가끔 들릅니다!",2024-04-05 - 00:22:03
10,naver,6,맛나베이커리,서울 종로구 종로51길 30 맛나베이커리,, 16,구일ㅇ,23.3.17.금,"동네빵집인데 가끔 이용합니다.
세련된 빵들은 없지만 기본에 충실한 빵들을 만날 수 있습니다 맛있어요",2024-04-05 - 00:22:03
11,naver,6,맛나베이커리,서울 종로구 종로51길 30 맛나베이커리,, 16,JWKH joyful,23.5.25.목,"가성비 좋아요
시장맛 느껴져요",2024-04-05 - 00:22:03
12,naver,6,맛나베이커리,서울 종로구 종로51길 30 맛나베이커리,, 16,운동매니아13,23.3.14.화,,2024-04-05 - 00:22:03
13,naver,6,맛나베이커리,서울 종로구 종로51길 30 맛나베이커리,, 16,bes****,22.4.17.일,💜🍰,2024-04-05 - 00:22:03
14,naver,6,맛나베이커리,서울 종로구 종로51길 30 맛나베이커리,, 16,bab****,22.4.17.일,❤️,2024-04-05 - 00:22:03
15,naver,7,빵절미,서울 종로구 수표로28길 17-26,, 8,미완성8091,23.7.28.금,친절해요,2024-04-05 - 00:22:10
16,naver,7,빵절미,서울 종로구 수표로28길 17-26,, 8,ssung0430,22.8.17.수,직원이 친절해요,2024-04-05 - 00:22:10
17,naver,7,빵절미,서울 종로구 수표로28길 17-26,, 8,후후2284,19.9.28.토,가게는 작은데 맛은 괜찮아요,2024-04-05 - 00:22:10
18,naver,16,더 스팟 패뷸러스,서울 중구 명동2길 22 1.2층, 4.56," 3,801",망사랑,3.21.목,수제바닐라라떼는 진짜 맛있었어요 커피 맛집 자몽에 이드도 첫입은 밍밍했는데 진짜 수제청이어서 그런지 뒤로 갈수록 좋았어요 딸기타르트 먹고 싶었...,2024-04-05 - 00:23:57
19,naver,16,더 스팟 패뷸러스,서울 중구 명동2길 22 1.2층, 4.56," 3,801",FOR DREAM,3.23.토,방문할때마다 베이커리가 넘 훌륭해서 행복합니다. 주말에 사람 많은건 어쩔수없지만요ㅎㅎ 머랭쿠키도 포장해왔는데 이것도맛있네요ㅎㅎ 디카페인음...,2024-04-05 - 00:23:57
20,naver,16,더 스팟 패뷸러스,서울 중구 명동2길 22 1.2층, 4.56," 3,801",후추맛젤리,3.11.월,음료잔 디자인이 꼭 타로카드 같이 예쁘네요🌙이런 원목느낌의 매장 분위기 진짜 좋아해요 따뜻한느낌나 서 편하고 아늑했어요:) 직원분들도 친절하시...,2024-04-05 - 00:23:57
21,naver,16,더 스팟 패뷸러스,서울 중구 명동2길 22 1.2층, 4.56," 3,801",감성한스푼담아,1.8.월,"1. 주문한 커피 및 디저트 케이크, 버터바 등 다양했는 데 겨울철이라 딸기 먹고 싶어 딸기 들어간 타르트 디 저트 먹었어요!! 딸기도 신선했고 생크림도 달...",2024-04-05 - 00:23:57
22,naver,16,더 스팟 패뷸러스,서울 중구 명동2길 22 1.2층, 4.56," 3,801",유스티나9587,3.4.월,친구가 가보자고 해서 갔는데 거울인테리어를 사용해 서 매장이아주 넓어보입니다. 관광객들과 직장인들이 많이 와서 회전율이 빠릅니다. 의자가 딱딱하...,2024-04-05 - 00:23:57
23,naver,16,더 스팟 패뷸러스,서울 중구 명동2길 22 1.2층, 4.56," 3,801",Jiiyul,2.24.토,명동에 놀러갔다가 카페 검색 후 방문했어요☺️ 예쁜 건물이 인상적이었구 샹들리에도 예뻤습니당 들어가 니 1층 2층 나뉘어졌었구 사람들이 정말 많았...,2024-04-05 - 00:23:57
24,naver,16,더 스팟 패뷸러스,서울 중구 명동2길 22 1.2층, 4.56," 3,801",Monggeul,1.24.수,명동오면 들리는 카페 디저트가 다양하고 맛있어요!! ! 날씨가 많이 추워서 차를 시켰는데 사과딸기 맛있 어요~~~ 👍🏻 여기 디저트는 다 맛있다는 배만 ...,2024-04-05 - 00:23:57
25,naver,16,더 스팟 패뷸러스,서울 중구 명동2길 22 1.2층, 4.56," 3,801",sage085,23.12.17.일,"일요일 오후라서 그런지,,, 외국인들도 많아요~!!! 오 래 기다렸네요~ 직원들~ 센스있고~ 매우 친절하십니 다 ☕️☕️☕️ 맛있는 디저트가 많아요~ 🍩🍪...",2024-04-05 - 00:23:57
26,naver,16,더 스팟 패뷸러스,서울 중구 명동2길 22 1.2층, 4.56," 3,801",페어리4845,2.24.토,중국여행 느낌 낭낭한 더스팟패뷸러스 🇨🇳 중국대사관 건너편에 앉아서 바라보면서 먹다보니 느낌이 꽤 생 소했지만 명동이 은근히 괜찮은 카페 찾기 힘...,2024-04-05 - 00:23:57
27,naver,16,더 스팟 패뷸러스,서울 중구 명동2길 22 1.2층, 4.56," 3,801",KSL1,2.11.일,분위기 좋은 카페입니다. 핫플답게 주말에 사람이 엄청 많습니다. 시그니처 슈페너 고소한 맛이 진합니다.,2024-04-05 - 00:23:57
28,naver,16,더 스팟 패뷸러스,서울 중구 명동2길 22 1.2층, 4.56," 3,801",홍홍홍3547,2.10.토,추운 명절에 명동에 돌아다니다가 들어갔는데 내부 인테리어가 예쁩니다. 1층에서 주문결제하고 2층에 주문표 보여드리면 만들어주는곳이더라구요. ...,2024-04-05 - 00:23:57
29,naver,16,더 스팟 패뷸러스,서울 중구 명동2길 22 1.2층, 4.56," 3,801",sok****,3.25.월,명동 중국대사관 근처. 점심때는 직장인들이 많아 시끄럽지만 조금 지나면 괜찮다. 디저트와 커피가 아주 잘 어울리는 곳,2024-04-05 - 00:23:57
30,naver,17,태극당,서울 중구 동호로24길 7, 4.38," 20,164",thankslee,3.19.화,"모나카중 제일 맛있는거 같아요 너무 달지않고~ 태극 장 본점은 처음 이용하는데 어르신들 정말 많고, 1/2/3 층 취식공간이 꽤 많은데, 1층은 거의 꽉 차 있...",2024-04-05 - 00:24:32
31,naver,17,태극당,서울 중구 동호로24길 7, 4.38," 20,164",희돌이네,3.14.목,지금 소포장 형식도 괜찮지만 예전이 더 그랍긴 하네 요.. 동네 맛있는 빵집보다 더 맛있는지는 모르겠지만 추억으로 가끔씩 방문합니다. 애플파네토네(₩...,2024-04-05 - 00:24:32
32,naver,17,태극당,서울 중구 동호로24길 7, 4.38," 20,164",또뽀삐 만세,3.11.월,동대문 쇼핑하러 나올때 가끔 들러서 아이스크림 모 나카 포장해갑니다. 야채 샐러드빵이 먹고 싶었는데 너무 사이즈가 커서 늘 망설이다가 오늘은 아...,2024-04-05 - 00:24:32
33,naver,17,태극당,서울 중구 동호로24길 7, 4.38," 20,164",기다리지않는 고기 쟁이,3.16.토,"계속 비싸지지만, 어디까지 가격이 오를까 두근두근 하지만,, 언제나 맛있는 태극당 모나카 아이스크림과 빵. 장충동 와서 족발 먹고 태극당 모나카는 국...",2024-04-05 - 00:24:32
34,naver,17,태극당,서울 중구 동호로24길 7, 4.38," 20,164",파인애플8686,2.17.토,친구랑 근처에 식사하러 지나갔는데 빵냄새가 너무 맛있어서 밥을 먹고 다시 왔었어요. 가장 오래된 빵집 이라 그런지 사람도 엄청 많고 빵 종류도 너무 ...,2024-04-05 - 00:24:32
35,naver,17,태극당,서울 중구 동호로24길 7, 4.38," 20,164",김땅콩누나,3.5.화,오랜만에 태극당본점 왔는데 차를 가지고는 처음 오 는거라 주차가 안되는걸 몰랐네요 ㅠ 근처에 어찌저 찌 대고 호다닥 계산하고 나왔습니다. 역시 태...,2024-04-05 - 00:24:32
36,naver,17,태극당,서울 중구 동호로24길 7, 4.38," 20,164",Istanbulu,4.4.목,"모나카는 세트(5개, 16,500원)로 사야 드라이아이스 포장해줘요. 카페도 있고, 2층도 넓어서 디저트카페 로 좋네요. 빵은 그냥 저냥 빵맛 모나카는 개인...",2024-04-05 - 00:24:32
37,naver,17,태극당,서울 중구 동호로24길 7, 4.38," 20,164",맛집인가기용,2.24.토,빵 종류가 너무너무너무 많아서 배부른데도 다 먹고 싶었어용 일요일 오후 3시쯤이었는데 추억의 로루케 익은 다 니갔더라구여ㅠㅠ 딸기잼 있는 롤케이...,2024-04-05 - 00:24:32
38,naver,17,태극당,서울 중구 동호로24길 7, 4.38," 20,164",jmc550,3.31.일,"오늘 태극당 가서 먹고싶은 빵 5개 샀다. 사고나서 장춘단공원 벤치 앉았는데, 모자를 벗어놨다. 신사역 갔다가 모자 놓고 온것이 생각나서 장충단 ...",2024-04-05 - 00:24:32
39,naver,17,태극당,서울 중구 동호로24길 7, 4.38," 20,164",ㅁㄴㅇ2735,1.20.토,클래식한 빵과 클래식하지 않은 가격으로 유명한 서 울에서 가장 오래된 빵집 어렸을때 보던 케익이나 빵 들을 볼수있다 가격 첨보면 왜 이리 비싸 싶은...,2024-04-05 - 00:24:32
40,naver,17,태극당,서울 중구 동호로24길 7, 4.38," 20,164",파워야미,23.12.22.금,우리나라에서 가장 오래된 빵집 태극당 회사근처에 있어 종종 들리는 빵맛집으로 요즘 아이스크림 모나 카 50% 세일하고잇데서 방문해보았다 연말이...,2024-04-05 - 00:24:32
41,naver,17,태극당,서울 중구 동호로24길 7, 4.38," 20,164",엘레나2023,2.21.수,장충체육관에 배구 보러가면서 들렀어요~ 태극당은 비가 와도 눈이 와도 사람이 많네요 ㅋ 외국인 손님도 많고요 ㅎㅎ 아이들이 하나씩 빵 고르고~ 제가 ...,2024-04-05 - 00:24:32
42,naver,17,태극당,서울 중구 동호로24길 7, 4.38," 20,164",나니누네노vV,3.14.목,"케이크 사러갔다가 빵도 왕창 사서 먹고왔어요! 빵이
진짜 다양하고 맛있네요 !! 인절미 슈크림빵 엄청 부
들쫄깃하고 맛나고 딸기빵도 맛나요!!",2024-04-05 - 00:24:32
43,naver,17,태극당,서울 중구 동호로24길 7, 4.38," 20,164",에머튼,23.12.5.화,"1946년 명동서 창업, 1973년 장충동 이전, 그리고 50 년. 서울 제과점의 자부심이자 상징인 이 곳은 들어설 때마다 수십년 전 어린 시절 어느 때로 돌아간 ...",2024-04-05 - 00:24:32
44,naver,17,태극당,서울 중구 동호로24길 7, 4.38," 20,164",싱싱싱v,2.27.화,역시 맛있어요! 중학생 남매도 버터 케익 맛에 반해서 생일이면 이거 사달라고 할 정도에요 빵이 촉촉하고 견과류가 들어있어 고소해요 버터라 한번에 많...,2024-04-05 - 00:24:32
45,naver,17,태극당,서울 중구 동호로24길 7, 4.38," 20,164",멍쓰40,3.28.목,아이생일 유치원에 케이크 보내야하는데 보통의 빵집 케이크는 작아요 태극당엔 큰 버터케이크가 있어서 작년에 사보고 올해 또 사면서 문구도 함께 예...,2024-04-05 - 00:24:32
46,naver,17,태극당,서울 중구 동호로24길 7, 4.38," 20,164",족사마,3.9.토,가족들과 같이 방문했는데 빵도 다양하고 가격도 괜찮아서 좋았어요! 아기 의자도 있어 편했답니다 ㅎㅎ,2024-04-05 - 00:24:32
