,Platform,Number,Store,Address,Review_score,Review_counts,ID,Date,Review_text,Time
0,naver,1,카페드아마폴라 강남점,서울 강남구 봉은사로 230 봉암빌딩, 4.39, 416,pin****,3.7.목,오랜만에 언주역에 볼일있어 들른김에 잠시 베이커리 카페에 들러보았어요 . 생각보다 엄청 넓은 공간에 다양한 베이커리와 케익 그리고 커피 차 음료등을 구매할 수 있어요 .저는 오늘 커피를 좀 마셔서 자몽에이드 주문해서 마셨는데 진한맛에 자몽향기가 깊고 과육도 느껴지는 시원한 맛이었어요 . 티라미수도 부드럽고 맛있어서 깜놀했네요 .평일 낮인데도 사람들이 많은걸 보면 여기 찐맛집 인정 / 언주역에서 편안한 공간 그리고 맛있는 베이커리 찾으신다면 아마폴라 방문 추천드려요 . #언주역베이커리카페#언주역카페,2024-04-08 - 01:32:07
1,naver,1,카페드아마폴라 강남점,서울 강남구 봉은사로 230 봉암빌딩, 4.39, 416,j-i****,2.28.수,강남에 있는 24시간 카페에 방문했는데 늦은 밤인데도 빵이 생각보다 많이 남아있었어요! 가격도 그냥 동네빵집마냥 저렴한 느낌이고 맛있었어요! 음료도 진하게 만들어주는 곳인데 가성비 아주 좋습니다. 매장도 넓어서 근처에 올 일 있으면 종종 들러야 겠어요👍🏻,2024-04-08 - 01:32:07
2,naver,1,카페드아마폴라 강남점,서울 강남구 봉은사로 230 봉암빌딩, 4.39, 416,Aronia0199,1.20.토,"일단 강남 한복판에서 24시간에 엄청 넓고 주차공간까지 보장되는 카페가 흔하지 않은데...

아이스카페 바닐라랑 아이스 더치아메리카노 시켰어요.
바닐라 라떼는 적당히 달달하고 아메리카노는 적당히 씁쓸해서 괜찮았네요.

빵은 초코코르네랑 소프트 슈크림빵 시켰는데 둘 다 크림이 안쪽까지 꾸덕하게 가득 차 있어서 놀랐네요.
초코크림이 정말 깊은 초코 맛이라서 너무 맘에 들었어요!
소프트 슈크림빵은 겉에 달달한 가루가 묻어있는게 별미였네요

매장도 넓고 좌석도 편한 소파석이 많아서 한숨 쉬다 가기 딱인곳이었어요!",2024-04-08 - 01:32:07
3,naver,1,카페드아마폴라 강남점,서울 강남구 봉은사로 230 봉암빌딩, 4.39, 416,먹빵녀,23.12.10.일,"*티라미스 (7,500) 
완전 부드러운 티라미수 컵케익!! 마스카포네 치즈가 가득하고 촉촉하고 부드러워서 너무 맛났음!!

*바나나쉬폰 (5,000) 
부드럽고 촉촉한 쉬폰에 생바나나와 바나나 크림이 어울어진 케이크! 진짜 너무 맛있음!! 
위에는 청포도와 체리가 들어서 과일의 향까지 더해서 부드럽도 상큼하고 최고 맛남! 

*카페바닐라라떼 (4,600) 
따뜻한 바닐라 라떼 시켰는데 커피향이 고소하고 너무 좋았고 쓴맛이 하나도 나지 않아서 정말 좋았음! 부드러운 거품과 달달한 바닐라시럽향이 넘 잘어울리는 고급커피맛!

*착즙자몽쥬스 (7,500) 
휴롬 기계로 100% 자몽만 넣는 착즙 쥬스! 완전 건강한 맛이고 인위적인 거 하나도 안들어가서 너무 맛있고 내서탈!!

천고도 높고 엄청 넓고 탁트인 공간!",2024-04-08 - 01:32:07
4,naver,1,카페드아마폴라 강남점,서울 강남구 봉은사로 230 봉암빌딩, 4.39, 416,Hym,23.12.13.수,"24시간 연중무휴+주차가능! 한 카페드아마폴라 강남점!!
빵 종류가 무척이나 많았고, 합리적인 가격에 
디저트를 맛볼 수 있어요.
매장 내부도 넓고 흡연구역도 있어서 흡연하시는
분들은 편하실 것 같습니다.
케이크랑 빵 너무 맛있고, 100% 생과일 주스도
달달하고 든든해요!! 😆😆",2024-04-08 - 01:32:07
5,naver,1,카페드아마폴라 강남점,서울 강남구 봉은사로 230 봉암빌딩, 4.39, 416,재미팡팡 리뷰,23.12.17.일,"24시간 하는 카페 찾기가 요즘 어려운데 역삼동 케이크 맛집 아마폴라(강남점)의 최대 장점은 24시간 운영(평일, 주말포함)입니다. 평소 커피귀신인 저는 검색하다 원두 좋은걸 쓰는 아마폴라에 지인과 함께 했습니다. 커피를 못마시는 친구는 이 집 핫메뉴인 사과당근(휴롬기계로 갈은)쥬스를 마셨는데 너무 맛있었습니다. 집에서 직접 갈아만든 순수한 재료맛이 느껴졌습니다. 소보로슈크림빵, 탱탱소세지도 추천 메뉴인 만큼 달달하고 폭신폭신한 맛이어서 커피와 어울립니다. 빵도 직접 매장에서 만들어 따뜻해요. 탱탱소세지는 이름만큼 정말 탱탱한 식감입니다. 아마폴라는 케익 종류도 많은데 밤새 많이 팔려서 남은게 얼마 없었네요. 곧 크리스마스인데 아직 케익 선택을 못했습니다. 다음엔 아마폴라 컵케익 먹어보고 겟해야겠어요.",2024-04-08 - 01:32:07
6,naver,1,카페드아마폴라 강남점,서울 강남구 봉은사로 230 봉암빌딩, 4.39, 416,레미 언니,3.22.금,부모님이 좋아하시는 빵이랑 팥빙수맛집입니다ㅎㅎ 단팥빵 크림빵 찹쌀도너츠 등등 다 맛있어요~ 케이크랑 커피맛도 좋고 매장도 넓어서 여유롭게 먹고가기 좋습니다^^,2024-04-08 - 01:32:07
7,naver,1,카페드아마폴라 강남점,서울 강남구 봉은사로 230 봉암빌딩, 4.39, 416,벼라20,2.25.일,매장 넓고 아늑해서 오래 머물기 좋은 곳이었어요!! 빵이랑 디저트 종류도 엄-청 다양합니당 ㅎㅎ,2024-04-08 - 01:32:07
8,naver,1,카페드아마폴라 강남점,서울 강남구 봉은사로 230 봉암빌딩, 4.39, 416,soy****,23.12.16.토,"빵도 가성비 있고, 카페도 넓어서 편해요
음료 종류도 다양하고, 모임에 적합한 카페에요",2024-04-08 - 01:32:07
9,naver,1,카페드아마폴라 강남점,서울 강남구 봉은사로 230 봉암빌딩, 4.39, 416,레미 언니,3.1.금,여기 팥빵 최고예요♡ 다른 빵도 다 맛있고 매장도 깨끗하고 친절하신데 새벽에도 아무때나 갈수있어서 좋아요^^,2024-04-08 - 01:32:08
10,naver,1,카페드아마폴라 강남점,서울 강남구 봉은사로 230 봉암빌딩, 4.39, 416,레미 언니,3.9.토,케이크 넘 예쁘고 맛있어요~여기 빵도 좋아해서 자주가요^^,2024-04-08 - 01:32:08
11,naver,1,카페드아마폴라 강남점,서울 강남구 봉은사로 230 봉암빌딩, 4.39, 416,김Ddd,23.10.23.월,"휴롬으로 착즙한 신선한 과일주스가 있는 곳...❤️
스트레스 받을때는 크레이프 케이크 먹으러 와요
교외에 대형 베이커리 카페는 인테리어 가격이 고대로 빵에 녹아들어갔는데 합리적인 가격으로 건강한 빵을 먹을 수 있어요 최애 빵집☺️👍",2024-04-08 - 01:32:08
12,naver,1,카페드아마폴라 강남점,서울 강남구 봉은사로 230 봉암빌딩, 4.39, 416,달돼지634,23.9.17.일,"빵 종류도 엄청많고 음료도 엄청 다양해서 멀 먹어야 할지 한참을 고민했어요 ㅋㅋㅋㅋㅋㅋ 매장도 엄청 넓어서 대화하기도, 지인만나기도 딱 좋은거 같아요! 티라미수는 꼬옥 드세요 진짜 짱맛탱 ㅜㅜ 직원분들도 친절하시고 넘 좋았어요 ㅎㅎ역삼동 베이커리 카페로 완전 추천합니당",2024-04-08 - 01:32:08
13,naver,1,카페드아마폴라 강남점,서울 강남구 봉은사로 230 봉암빌딩, 4.39, 416,신나고행복하게살테다,23.8.10.목,"비가많이오고 바람이불어서 들린 카페인데
자리도 많고 빵이랑 케이크 종류도 엄청 많네요
직원분들도 친절하셨어요
다음엔 케이크 사러 와봐야겠어요😁
잣타르트 처음봣는데 특이한메뉴네요",2024-04-08 - 01:32:08
