,Platform,Number,Store,Address,Review_score,Review_counts,ID,Date,Review_text,Time
0,naver,1,오묘한과자점,서울 강남구 삼성로149길 15 1층 오묘한과자점, 4.57, 163,노는 게 제일 좋아87,23.12.23.토,"살구잼이 들어간 살구코코넛 마들렌. 
마들렌이 촉촉해서 좋았어요.",2024-04-06 - 10:40:08
1,naver,1,오묘한과자점,서울 강남구 삼성로149길 15 1층 오묘한과자점, 4.57, 163,김에뽐,3.7.목,사장님... 카톡상담도 친절하셨는데 실제로도 친절하 시고 사무실 간식으로 사간다니깐 물티슈까지 다챙겨 주셔서 감동했습니다. 에그타르트도 두껍고 크...,2024-04-06 - 10:40:08
2,naver,1,오묘한과자점,서울 강남구 삼성로149길 15 1층 오묘한과자점, 4.57, 163,ais****,23.12.6.수,맛보았던 과자 점 중 최고! 무조건 재방문 의사 있습니다!,2024-04-06 - 10:40:08
3,naver,1,오묘한과자점,서울 강남구 삼성로149길 15 1층 오묘한과자점, 4.57, 163,mingjurrr,23.8.3.목,"플레인 휘낭시에 한 입 물었더니 겉은 바삭 속은 촉촉해요 ... 너무 맛있어요!!!🫶🏻
선물하기도 좋고 디저트가 다 너무 맛있는 곳입니당",2024-04-06 - 10:40:08
4,naver,1,오묘한과자점,서울 강남구 삼성로149길 15 1층 오묘한과자점, 4.57, 163,nav****,23.8.30.수,"딸들의 최애 케익 구매장소입니다.먼~~~~~길이지만 퇴근 픽업했어요
체리나올때만 먹을수 있는 계절케익👍",2024-04-06 - 10:40:08
5,naver,1,오묘한과자점,서울 강남구 삼성로149길 15 1층 오묘한과자점, 4.57, 163,말랑6123,23.4.3.월,구움과자를 좋아해서 찾아가봤어요. 바삭하고 고소하게 구워져서 맛있게 먹을 수 있었습니다. 다만 조금 달고 제형이 무른 거 같아요,2024-04-06 - 10:40:08
6,naver,1,오묘한과자점,서울 강남구 삼성로149길 15 1층 오묘한과자점, 4.57, 163,뮹치,23.4.20.목,맛있어요! 마카롱 단숨에 흡입함 ㅋㅋ,2024-04-06 - 10:40:08
7,naver,1,오묘한과자점,서울 강남구 삼성로149길 15 1층 오묘한과자점, 4.57, 163,Kongssam,23.4.3.월,"사장님의 정성도 가득하고, 재료가 정말정말 좋아요. 맛은 당연하고요. 이집의 에그타르트는 여태 먹어본 것 중 정말 최고에요~ 새로나온 크림스콘도 맛...",2024-04-06 - 10:40:08
8,naver,1,오묘한과자점,서울 강남구 삼성로149길 15 1층 오묘한과자점, 4.57, 163,opjm0926,23.3.8.수,오늘 딸과 압구정 병원을 다녀오는길에 우리가 좋아 하는 오묘한 과자점을 걸어서 걸어서^^날이 너무 걷 기좋아서~ 애정하는 소금바닐라마카롱과 에그...,2024-04-06 - 10:40:08
9,naver,1,오묘한과자점,서울 강남구 삼성로149길 15 1층 오묘한과자점, 4.57, 163,뮹치,23.3.20.월,에그타르트 필링까지!! 전부다 사장님이 직접 만드시는곳! 좋은 재료 사용하는 찐맛집 입니다!! ❤️,2024-04-06 - 10:40:09
10,naver,1,오묘한과자점,서울 강남구 삼성로149길 15 1층 오묘한과자점, 4.57, 163,zbath,22.12.21.수,"넘모 친절하고 조아요
핵 존 맛 탱
신세경님도 조아하는 오묘 ㅡ 한 과자점!",2024-04-06 - 10:40:09
11,naver,1,오묘한과자점,서울 강남구 삼성로149길 15 1층 오묘한과자점, 4.57, 163,kljin4187,23.2.22.수,플레인 더 많이 만들어쥬세요!,2024-04-06 - 10:40:09
12,naver,1,오묘한과자점,서울 강남구 삼성로149길 15 1층 오묘한과자점, 4.57, 163,꼬물구루미,23.4.10.월,항상 변함없이 맛있는 맛!!!^^,2024-04-06 - 10:40:09
13,naver,1,오묘한과자점,서울 강남구 삼성로149길 15 1층 오묘한과자점, 4.57, 163,Yu1ia,22.9.6.화,특별한 맛의 마카롱들이 많습니다. 마카롱 컬러도 오묘하고 신비로운 느낌이라 매력적이라서 좋아요. 점장님도 매우 친절하십니다!,2024-04-06 - 10:40:09
14,naver,1,오묘한과자점,서울 강남구 삼성로149길 15 1층 오묘한과자점, 4.57, 163,kljin4187,23.1.11.수,휘낭시에 맛있어요👍,2024-04-06 - 10:40:09
15,naver,1,오묘한과자점,서울 강남구 삼성로149길 15 1층 오묘한과자점, 4.57, 163,가나다라미12,22.8.17.수,회사 근처라서 지나가다가 발견했는데 구움과자 핫플 이었어요..❤️ 점심먹고 하나씩 사서 사무실에서 먹으 면서 힐링했는데 퇴사하게 되서 여길 못온다니...,2024-04-06 - 10:40:09
16,naver,1,오묘한과자점,서울 강남구 삼성로149길 15 1층 오묘한과자점, 4.57, 163,200****,23.1.13.금,🙂,2024-04-06 - 10:40:09
17,naver,1,오묘한과자점,서울 강남구 삼성로149길 15 1층 오묘한과자점, 4.57, 163,nav****,22.12.31.토,시즌케이크라 아쉽지만 질 좋은 재료사용하여 기대되는 케이크에요,2024-04-06 - 10:40:09
18,naver,1,오묘한과자점,서울 강남구 삼성로149길 15 1층 오묘한과자점, 4.57, 163,cindy66,22.11.25.금,제가 먹은 마카롱중에 최고입니다~ 재료본연의 맛이 잘 느껴지고 부드럽고 인위적이지 않은 맛이예요~ 단점이라면 질리지 않아서 많이먹게된다는 점이네요^^,2024-04-06 - 10:40:09
19,naver,1,오묘한과자점,서울 강남구 삼성로149길 15 1층 오묘한과자점, 4.57, 163,후후59,22.10.13.목,"초당옥수수타르트 먹어보고싶었는데 품절이라 먹지 못했어요ㅠㅠ 그치만 에그타르트, 휘낭시에 모두 맛있었습니다..",2024-04-06 - 10:40:09
20,naver,1,오묘한과자점,서울 강남구 삼성로149길 15 1층 오묘한과자점, 4.57, 163,opjm0926,22.7.2.토,이전 강남구청 쪽에 매장이 있을 때부터 꾸준히 찾아 가서 먹었을정도로 정말 맛있고 딸도 너무 좋아하는 곳입니다♡ 소금바닐라가 정말 맛있어요. 다...,2024-04-06 - 10:40:09
21,naver,1,오묘한과자점,서울 강남구 삼성로149길 15 1층 오묘한과자점, 4.57, 163,wld****,22.7.16.토,마카롱 구움과자 유목민은 이곳에 잠들 예정입니다!!!! 너무 맛있어요 사장님 만수무강하세요💗,2024-04-06 - 10:40:09
22,naver,1,오묘한과자점,서울 강남구 삼성로149길 15 1층 오묘한과자점, 4.57, 163,ssjhanm,22.11.17.목,마카롱 맛있어요,2024-04-06 - 10:40:09
23,naver,1,오묘한과자점,서울 강남구 삼성로149길 15 1층 오묘한과자점, 4.57, 163,때마침62,22.8.4.목,에그타르트가 탐스러워 보여서 찾아갔어요 저한텐 많 이 달지 않고 맛이 조금 연하게 느껴졌는데 버터리하 고 달달한 에그타르트보다 마일드한 맛을 좋아...,2024-04-06 - 10:40:09
