,Platform,Number,Store,Address,Review_score,Review_counts,ID,Date,Review_text,Time
0,naver,1,르뺑,서울 동대문구 경희대로 4-1, 4.49, 608,푸리푸리62,1.21.일,맛있어요!,2024-04-08 - 00:51:04
1,naver,1,르뺑,서울 동대문구 경희대로 4-1, 4.49, 608,cho****,23.8.15.화,겉바속촉에 쫀득하니 빵 존맛이에요!,2024-04-08 - 00:51:04
2,naver,1,르뺑,서울 동대문구 경희대로 4-1, 4.49, 608,qkddnfdl97,22.10.3.월,"고구마빵도 맛있고!! 소금빵도 넘 맛있었어요.👍🏼🥹
살만 안찌면 1일 1소금빵 하고 싶은 맛..😋
매장도 6층+루프탑까지 있고 넓고 쾌적하고 좋아요.
일단 화장실이 너~~무 깔끔해서 기분 좋았습니다.
카공하기도 좋은 분위기 같아요.
번창하세요~~😻",2024-04-08 - 00:51:04
3,naver,1,르뺑,서울 동대문구 경희대로 4-1, 4.49, 608,AAVVAA,22.8.14.일,"빵쌤 경희대점은 처음 가봤는데 카페가 6층까지 있어서 자리가 넉넉하고 넓어서 좋네요. 
화장실도 층마다 있으니깐 가기 편해서 좋고 무엇보다 커피랑 빵이 맛있어요.
커피는 신맛이 없어서 좋았고 치즈케이크도 부드럽고 맛있네요.
위치도 경희대랑 가깝고 버스정류장이랑 가까워서 가기 편해서 좋아요.",2024-04-08 - 00:51:04
4,naver,1,르뺑,서울 동대문구 경희대로 4-1, 4.49, 608,jsjs7,22.6.29.수,"빵도 다양하고 맛있고 2층부터6층까지 분위기도 다르게 인테리어되어있는 공간이 넘 좋아요~
루프탑은 비가와서 안가봤는데 담에 방문하러가고싶네요 
주문받으시는 분도 친절하시고 빵도 많고 최고네요
티라미수 진짜 넘 맛나요~",2024-04-08 - 00:51:04
5,naver,1,르뺑,서울 동대문구 경희대로 4-1, 4.49, 608,뜨뤼,22.6.25.토,"경희대 앞에 이렇게 큰 베이커리카페가 있다니..경희대 학생들 부럽네요~
빵 종류도 식빵부터 파이류, 케이크, 샌드위치까지 진짜 다양하고
음료도 저렴한 편이라 먹어보고 싶은 것 이것저것 다 먹어봤어요ㅎㅎ
6층까지 다 쓰는 베이커리카페라 좌석도 널널하구 넘 좋네요💓💓💓",2024-04-08 - 00:51:05
6,naver,1,르뺑,서울 동대문구 경희대로 4-1, 4.49, 608,SUN241,22.10.14.금,"빵,커피 맛집 !! 공부하기도 좋아요~",2024-04-08 - 00:51:05
7,naver,1,르뺑,서울 동대문구 경희대로 4-1, 4.49, 608,o쩝쩝박사o,22.10.11.화,자리도 많고 밀크티 맛있어서 좋았어요,2024-04-08 - 00:51:05
8,naver,1,르뺑,서울 동대문구 경희대로 4-1, 4.49, 608,팥빙수쪼아,22.7.3.일,"좌석이 2층부터 6층까지 있고
에어컨이 쾌적하게 틀어져 있습니다.
화장실도 깔끔하고 여러개라 사용하기 좋습니다
음료가맛있고 빵도 모두 맛있었습니다
특히 옥수수빵 진짜 맛있어요!!",2024-04-08 - 00:51:05
9,naver,1,르뺑,서울 동대문구 경희대로 4-1, 4.49, 608,o쩝쩝박사o,22.9.13.화,바질페퍼소세지 너무 맛있어요 👍🏻👍🏻,2024-04-08 - 00:51:05
