,Platform,Number,Store,Address,Review_score,Review_counts,ID,Date,Review_text,Time
0,naver,1,그래인스쿠키 현대백화점 신촌점,서울 서대문구 신촌로 83 현대백화점 신촌점 지하1층, 4.57, 115,로엘739,2.6.화,"간단히 명절선물로 그래인스 베이커즈초이
로 준비 햇습니다 ~~",2024-04-07 - 19:30:13
1,naver,1,그래인스쿠키 현대백화점 신촌점,서울 서대문구 신촌로 83 현대백화점 신촌점 지하1층, 4.57, 115,눈사람눈사람,3.1.금,🍪😊,2024-04-07 - 19:30:13
2,naver,1,그래인스쿠키 현대백화점 신촌점,서울 서대문구 신촌로 83 현대백화점 신촌점 지하1층, 4.57, 115,bon****,1.4.목,선물용으로 구입했습니다,2024-04-07 - 19:30:13
3,naver,1,그래인스쿠키 현대백화점 신촌점,서울 서대문구 신촌로 83 현대백화점 신촌점 지하1층, 4.57, 115,wls****,1.24.수,",",2024-04-07 - 19:30:13
4,naver,1,그래인스쿠키 현대백화점 신촌점,서울 서대문구 신촌로 83 현대백화점 신촌점 지하1층, 4.57, 115,ari****,2.6.화,"졸업기념 선생님께 선물드렸어요 가볍게 선물하기 좋
네요 앞으로 종종 이용할듯해요",2024-04-07 - 19:30:13
5,naver,1,그래인스쿠키 현대백화점 신촌점,서울 서대문구 신촌로 83 현대백화점 신촌점 지하1층, 4.57, 115,chw****,2.7.수,좋아요,2024-04-07 - 19:30:13
6,naver,1,그래인스쿠키 현대백화점 신촌점,서울 서대문구 신촌로 83 현대백화점 신촌점 지하1층, 4.57, 115,우주의 디저트도감,23.9.10.일,"쿠키 선물하기에 좋아요~! 틴 케이스 크기 선택할 수 있고, 쿠키도 선택가능해서 좋구요 가성비도 좋아요^^",2024-04-07 - 19:30:13
7,naver,1,그래인스쿠키 현대백화점 신촌점,서울 서대문구 신촌로 83 현대백화점 신촌점 지하1층, 4.57, 115,EYLEE,23.9.24.일,간단하게 선물용으로 아주 좋아요. 포장도 예쁘게 되어있어 좋아요,2024-04-07 - 19:30:13
8,naver,1,그래인스쿠키 현대백화점 신촌점,서울 서대문구 신촌로 83 현대백화점 신촌점 지하1층, 4.57, 115,4768,1.5.금,좋아요😊,2024-04-07 - 19:30:13
9,naver,1,그래인스쿠키 현대백화점 신촌점,서울 서대문구 신촌로 83 현대백화점 신촌점 지하1층, 4.57, 115,오즈18,23.9.3.일,선물용으로 좋아요!!,2024-04-07 - 19:30:13
10,naver,1,그래인스쿠키 현대백화점 신촌점,서울 서대문구 신촌로 83 현대백화점 신촌점 지하1층, 4.57, 115,예쁜언니그대,2.26.월,굿~~~~,2024-04-07 - 19:30:13
11,naver,1,그래인스쿠키 현대백화점 신촌점,서울 서대문구 신촌로 83 현대백화점 신촌점 지하1층, 4.57, 115,유슈슈11,3.2.토,좋아요,2024-04-07 - 19:30:13
12,naver,1,그래인스쿠키 현대백화점 신촌점,서울 서대문구 신촌로 83 현대백화점 신촌점 지하1층, 4.57, 115,정신나간토끼쏠,23.3.18.토,사진은 없지만ㅠ 버터쿠키 생각날때 항상 가는곳!! 가 격은 착하고 케이스포장 그 자리에서 가능하고 이미 포장되어 있는것도 깔끔해서 선물하기도 넘나 ...,2024-04-07 - 19:30:13
13,naver,1,그래인스쿠키 현대백화점 신촌점,서울 서대문구 신촌로 83 현대백화점 신촌점 지하1층, 4.57, 115,안녕자두,23.5.30.화,선물하기 좋아요^^맛있습니다,2024-04-07 - 19:30:13
14,naver,1,그래인스쿠키 현대백화점 신촌점,서울 서대문구 신촌로 83 현대백화점 신촌점 지하1층, 4.57, 115,thuglife,23.4.21.금,잘 설명해주시고 선물용으로 샀는데 맛있다고 하네요!,2024-04-07 - 19:30:13
15,naver,1,그래인스쿠키 현대백화점 신촌점,서울 서대문구 신촌로 83 현대백화점 신촌점 지하1층, 4.57, 115,만족16,23.9.28.목,백화점,2024-04-07 - 19:30:13
16,naver,1,그래인스쿠키 현대백화점 신촌점,서울 서대문구 신촌로 83 현대백화점 신촌점 지하1층, 4.57, 115,찰싹궁댕이,23.4.27.목,온가족이 좋아해서 종종 구매합니다.,2024-04-07 - 19:30:13
17,naver,1,그래인스쿠키 현대백화점 신촌점,서울 서대문구 신촌로 83 현대백화점 신촌점 지하1층, 4.57, 115,blu****,23.2.10.금,"깔끔하게 진열되어서 더 맛있게 보여요.
선물했어요",2024-04-07 - 19:30:13
18,naver,1,그래인스쿠키 현대백화점 신촌점,서울 서대문구 신촌로 83 현대백화점 신촌점 지하1층, 4.57, 115,에셋디자이너,22.12.28.수,쿠키맛이 고소하고 달콤하고 좋아요,2024-04-07 - 19:30:13
