,Platform,Number,Store,Address,Review_score,Review_counts,ID,Date,Review_text,Time
0,naver,2,밀리제빵소,서울 성북구 아리랑로19길 56,, 13,JungDaramG,3.17.일,🍞🤩드뎌 초코빵 구입 초코빵 갈때마다 다 팔려서 매번 못먹었음 옆에 갓구워나온 밤빵도 구입 (요건 첨 먹어봤는데 부모님이 좋아하시네요! 밤도 많이...,2024-04-07 - 22:26:09
1,naver,2,밀리제빵소,서울 성북구 아리랑로19길 56,, 13,뿌뿌6590,1.20.토,빵은 나오자마자 먹어버려서 사진이 없네요.. 우리동 네에 빵집이 생겨서 좋아요~~ 무인카페랑 연결되어 있어요 음료도 신기하게 나오네요 오픈이라 그...,2024-04-07 - 22:26:09
2,naver,2,밀리제빵소,서울 성북구 아리랑로19길 56,, 13,냔냐냔냐냔,1.22.월,멀지 않은 곳에 맛있는 빵집이 생겨서 참 좋아요^^ 가 격도 넘 착한데 맛있기까지 해서 앞으로도 자주 갈거 같아요♥️ 갓 구운 빵 맛은 뭐 말할 것도 없고요 ...,2024-04-07 - 22:26:09
3,naver,2,밀리제빵소,서울 성북구 아리랑로19길 56,, 13,Flier,2.9.금,빵이 담백해서 맛있어용! 햄치즈야채는 빵 윗부분 치 즈가 고소해요 속에 햄이랑 야채가 들어있어 피자빵 맛도 나고 좋았어요^^ 바로 옆에 24시 카페도 ...,2024-04-07 - 22:26:09
4,naver,2,밀리제빵소,서울 성북구 아리랑로19길 56,, 13,kta****,1.20.토,소금빵이랑 플레인 베이글 맛있어요~ 오븐에다가 데 워주셔서 그런지 따듯하게 먹었어요 밥 안먹고 가서 둘이 다먹었네요 ㅎ.. 10프로 할인해주셔서 감...,2024-04-07 - 22:26:09
5,naver,2,밀리제빵소,서울 성북구 아리랑로19길 56,, 13,도연 킴,1.24.수,"동네 새로생긴 빵집. 몇가지 식빵 베이글 소금빵만 팔
아요 맛있네요. 특히 마늘빵 맛있는데. 엄청 고칼로리
!!!",2024-04-07 - 22:26:09
6,naver,2,밀리제빵소,서울 성북구 아리랑로19길 56,, 13,han****,3.5.화,한번 먹어보고 너무 맛있어서 직접 찾아간 곳 입니다 !!빵이 신선 하고 재료도 충실 해요 ^^ 가격도완전 백 점입니다♡ 금방 만든 식빵 먹고싶을때 강추! ...,2024-04-07 - 22:26:09
7,naver,2,밀리제빵소,서울 성북구 아리랑로19길 56,, 13,haw5822,2.6.화,"마늘빵 정말 맛있어요😀 촉촉하고 부드럽고 진짜 맛
있어요. 소금빵도 다른곳에 비하면 훨씬 싸고 맛있네
요 다만 빵나오는 시간을 공지해주셨음 좋겠어요😊",2024-04-07 - 22:26:09
8,naver,2,밀리제빵소,서울 성북구 아리랑로19길 56,, 13,so-****,1.24.수,"동네 새로 오픈했는데..
무인인데도 커피가 진하니 맛있어요",2024-04-07 - 22:26:09
9,naver,2,밀리제빵소,서울 성북구 아리랑로19길 56,, 13,mjhealth,2.15.목,좋아요,2024-04-07 - 22:26:09
10,naver,2,밀리제빵소,서울 성북구 아리랑로19길 56,, 13,Mango7,2.6.화,맛있어요,2024-04-07 - 22:26:09
11,naver,2,밀리제빵소,서울 성북구 아리랑로19길 56,, 13,Mango7,1.25.목,맛있어요,2024-04-07 - 22:26:09
12,naver,3,정릉동 350다시1,서울 성북구 솔샘로6길 45, 4.75, 158,뾰료룡,2.14.수,사장님이 친절하세요 마카롱은 제 입맛에는 맞지 않았답니다 아 뽀또맛은 맛있었어요,2024-04-07 - 22:28:42
13,naver,3,정릉동 350다시1,서울 성북구 솔샘로6길 45, 4.75, 158,유리아나,23.10.17.화,"구리볼과자 달지않아서 커피없이도 잘 들어가요!!
여기는 당일에 만드셔서 겉바속촉 몇일둬도 포슬포슬
부드럽더라구요~
 애플시나몬쿠키는 진짜 사과가 많이들어가서 아삭아삭한 식감이 달콤하고 맛있어요~~~ 마카다미아 쿠키는 마카다미아를 쏟으신거 같은데... 이렇게 많이 넣어도 사장님이 남는게 있을까 싶어요~~ 
마카롱은 말해 모합니다. 차비가 안아깝습니다~~!!",2024-04-07 - 22:28:42
14,naver,3,정릉동 350다시1,서울 성북구 솔샘로6길 45, 4.75, 158,유리아나,23.8.31.목,"치즈케이크랑 체리쇼콜라 오랜만에 포장해갔는데
너무 맛있네요^^☆
저녁 먹고 후식으로 커피에 먹었는데~~ 
순삭~~ 디저트배는 따로있다지만 ㅎㅎ
에그타르트 품절되서 못샀는데ㅜㅜ
담에 같이~~ 노려봐야겠네요~~~",2024-04-07 - 22:28:42
15,naver,3,정릉동 350다시1,서울 성북구 솔샘로6길 45, 4.75, 158,kyu****,23.9.19.화,디저트 맛있어요,2024-04-07 - 22:28:43
16,naver,3,정릉동 350다시1,서울 성북구 솔샘로6길 45, 4.75, 158,vivir felizmente,23.1.31.화,"학부시절 에그타르트가 맛있어서 종종 들렀던 집이었는데 (시험기간에는 자주..ㅎㅎ) 오랜만에 가도 자리를 지키고 있어서 반가웠어요! 

저는 에타 쳐돌이인데 유명한 브랜드부터 다 먹어보았으나.. 진심 '여기'가 제일 맛있었어요!! 많이 달지 않아 좋고, 우유 맛 내지는 크림맛이 풍부하게 나서 정말 부드럽고 고급진 맛입니다! (요즘 가격이 과도한 디저트 가게들도 많은데.. 가격도 저렴하게 유지하시려고 해서 좋은것 같아요)

사장님 더욱 잘 되셔서 제발ㅠ 우리집 앞에 2호점... 😆 맛있는 디저트와 친절한 사장님이 계신 이 곳 언제와도 좋습니다ㅎㅎ 아무쪼록 더 번성하시기를 기원드려요!",2024-04-07 - 22:28:43
17,naver,3,정릉동 350다시1,서울 성북구 솔샘로6길 45, 4.75, 158,유리아나,23.6.15.목,"역시 마카롱은 정릉350-1
디저트 짱짱",2024-04-07 - 22:28:43
18,naver,3,정릉동 350다시1,서울 성북구 솔샘로6길 45, 4.75, 158,Lovelyaa,23.5.11.목,마카롱 맛있어요:),2024-04-07 - 22:28:43
19,naver,3,정릉동 350다시1,서울 성북구 솔샘로6길 45, 4.75, 158,유리아나,23.2.21.화,,2024-04-07 - 22:28:43
20,naver,3,정릉동 350다시1,서울 성북구 솔샘로6길 45, 4.75, 158,JuDee,22.11.25.금,정릉에 이렇게 예쁜 마카롱을 파는곳이 있었네요~ 종 류도 많고 모양도 예뻐서 10개세트에 들어갈 마카롱 고르는데 선택장애가 오더라구요^^ 선물한다...,2024-04-07 - 22:28:43
21,naver,3,정릉동 350다시1,서울 성북구 솔샘로6길 45, 4.75, 158,배고픈강아지임다,23.1.12.목,"항상 찾게되는 커피맛집🫶🏻 마카롱을 별로 안좋아하
지만 사장님이 너무 친절해서 커피를 마시기 위해 방
문하게 되네요! 마카롱도 선물 받는 분들 모두 ...",2024-04-07 - 22:28:43
22,naver,3,정릉동 350다시1,서울 성북구 솔샘로6길 45, 4.75, 158,유리아나,22.7.21.목,"오랜만에 갔는데도 맛이 변함없었어요
새로운 쿠키는 안에 재료아끼지도 않고 팍팍 
넣어주셨는지 씹는맛이 있고 진짜 맛있네요^^
바스크치케도 딴가게보다 가격대비 진짜 큰듯요
2~3년 전에도 저가격인거같은데
사장님 대단하시다는 생각만 드네요
어쨌든 행복한 디저트 타임이었어요!!",2024-04-07 - 22:28:43
23,naver,3,정릉동 350다시1,서울 성북구 솔샘로6길 45, 4.75, 158,랑람쥐,22.7.20.수,"여름빛 카페🌿

당근에서 입소문 난 디저트 카페🥕
갈색빛 간판이 예쁜 가게였어요. 맛있는 디저트와 친절한 사장님, 깨끗한 내부✨

오늘은 기쁜 일이 있어 축하 겸 디저트를 사러 첫 방문했어요. 맛있어보이는 마카롱이 잔뜩 있어서 행복했어요☺️💛

꼬끄가 바삭하고 부드러워요!
크림은 말할 것도 없이 맛있었는데 드문 말차 맛집이에요👍

말차 향이 나는 디저트는 처음이에요ㅠㅠ전혀 떫지 않고 달콤해서 기분 좋은 티타임을 보냈습니당☕️

다음에는 다른 메뉴도 먹어보고 싶어요. 귀한 디저트 집이에요. 오래 오래 번창하시길 바라요.

사장님의 친절과 다정이 기억에 남네요. 카페의 포근한 분위기도 사장님을 닮은 듯해요☺️

하루 기분을 한층 높이고 싶다면 정말 추천드리는 곳💐",2024-04-07 - 22:28:43
24,naver,3,정릉동 350다시1,서울 성북구 솔샘로6길 45, 4.75, 158,쯔으노,22.8.24.수,말이 필요없움 행복💗,2024-04-07 - 22:28:43
25,naver,3,정릉동 350다시1,서울 성북구 솔샘로6길 45, 4.75, 158,유리아나,22.2.14.월,"밤 휘낭시에와 오늘의 차 히비스커스 🌺 조합
맛있는 점심 먹고 디저트로 찾았는데 
역시 사장님 손맛 항상 최고 최고입니다👍👍👍
통째로 넣은 밤 휘낭시에는 늘 먹고싶은 최애!!!
속이아파서 커피대신 차를 선택했는데 꽃향기가
은은하게 나는게 영하의 날씨를 녹이네요^^",2024-04-07 - 22:28:43
26,naver,3,정릉동 350다시1,서울 성북구 솔샘로6길 45, 4.75, 158,기다리기,22.5.17.화,마카롱과 휘낭시에 밀크티 진짜 맛났어요~~ 고구마 케잌도 덩달아 사갑니다.!!,2024-04-07 - 22:28:43
27,naver,3,정릉동 350다시1,서울 성북구 솔샘로6길 45, 4.75, 158,성북의 망령,22.8.26.금,맛있어어용,2024-04-07 - 22:28:43
28,naver,3,정릉동 350다시1,서울 성북구 솔샘로6길 45, 4.75, 158,성북의 망령,22.5.12.목,"블루베리스콘, 맨날 메뉴가 바뀌어서 지나가는 길에 들르면 색다르다. 친절한 사장님!",2024-04-07 - 22:28:43
