,Platform,Number,Store,Address,Review_score,Review_counts,ID,Date,Review_text,Time
0,naver,1,파네트 광화문점,서울 종로구 사직로8길 24, 4.48," 1,595",알로하이,3.17.일,"지나가다가 피칸파이 사먹었어요~^-^
파이가 정말 맛있네요~~ 직원분이 알레르기있냐고도 친절히 물어봐주시고요♡
맛도 맛납니닷! 일반파이시트와 좀 달라요~ 
아사삭 식감이에요 ㅋㅋㅋ 
케익예뻐서 찍어봤어요~^-^ 담엔케익먹으러가야겠어욥!",2024-04-05 - 18:33:47
1,naver,1,파네트 광화문점,서울 종로구 사직로8길 24, 4.48," 1,595",슬기로운맛집생활,3.21.목,"경복궁역과 광화문역 근처에 있는 빵집, 파네트 광화문점을 방문했습니다. 경복궁역에서 더 가까운 느낌이더라구요? 점심 시간에 방문했는데 이미 품절된 빵 종류가 꽤 있었어요 ㅠㅠ 
베스트 메뉴인 밤파이는 맛있었고, 바질토마토 샌드위치도 엄청 신선하고 맛있었어요. 미니 소세지빵은 그냥 보통 맛이었고, 마늘바게뜨가 맛있다고 해서 구매했는데, 소스 듬뿍이었지만 제 입에는 너무 달고 소스도 과해서 반 먹고 반은 못먹고 남겼어요.",2024-04-05 - 18:33:47
2,naver,1,파네트 광화문점,서울 종로구 사직로8길 24, 4.48," 1,595",우연히들어간식당이만족스러울때의짜릿함,2.4.일,사실 기대 안하고 왔는데 빵 종류도 많고 가격도 터뮤니없지 않아서 좋았어요! 어떤 빵이든 재료가 듬뿍듬뿍 들어가잇고 맛있어요.. 3만원어치 시켜먹고 각자 2만원어치씩 포장해갔습니당. 바질토마토베이글은 스타벅스랑 비슷하지만 좀 덜 달고 녹진한 맛이예요(추천추천) 리코타치즈뭐시기는 빵부분이 좀 질기지만ㅠ 맛나요. 암튼 다 맛나요 밀가루 최고야아아아아아아아,2024-04-05 - 18:33:47
3,naver,1,파네트 광화문점,서울 종로구 사직로8길 24, 4.48," 1,595",나주배즙,2.4.일,"운좋게 찾아서 들어간 곳이 빵맛집이었네요~
색다른 빵들이 많아서 보는 즐거움이 가득했어요
애플파이, 고구마모찌, 바질토마토바게트를 매장에서 먹었는데 성공해서 기분이 좋았어요.
바질토마토바게트에는 크림치즈가 가득 있길래 가져와서 집에서도 먹었답니다.
매장이외에 복도쪽에 큰 자리들이 있는데 이용시간이 정해져 있는 게 아쉬웠어요.
그래도 맛있는 빵집을 알게 돼서 기쁜 시간이었습니다!",2024-04-05 - 18:33:47
4,naver,1,파네트 광화문점,서울 종로구 사직로8길 24, 4.48," 1,595",Mini15,3.15.금,"최애 빵집입니다. 언제와도 정말 맛있네요.
평일 품절도 빠릅니다. 정말 맛있어요!",2024-04-05 - 18:33:48
5,naver,1,파네트 광화문점,서울 종로구 사직로8길 24, 4.48," 1,595",악어밥주는사람,1.25.목,"여기 빵은 정말로 다 맛있어요.
텃밭깜빠뉴가 제 인생빵인데요. 
텃밭빵 사러갔다가 다른 아이들도 이것 저것 사와봤는데
밤파이도 너무 맛있구, 버터프레첼도 바삭바삭해서 맛있구 꼬마소세지빵이랑 그린올리브도 맛있구 아몬드가 듬뿍 묻은 플랑아망드 이것도 정말정말 맛있었어요오 😍
혼자만 알기 너무 아까워서😝 
지인분들한테도 선물했는데 다들 너무너무 맛있었데요.🫶🏻",2024-04-05 - 18:33:48
6,naver,1,파네트 광화문점,서울 종로구 사직로8길 24, 4.48," 1,595",juehhhhh,2.26.월,"서울이서 제일 사랑하는 빵집인 파네트 광화문점..❤️
오랜만에 가서 또 털어왔습니당 ^_^
매번 새로워 짜릿해 맛있어...",2024-04-05 - 18:33:48
7,naver,1,파네트 광화문점,서울 종로구 사직로8길 24, 4.48," 1,595",iilliilll,3.27.수,"유명한 깜빠뉴가 궁금했는데 너무 일찍갔는지 아니면 벌써 다 팔린건지 ㅠ 못사서 아쉬웠지만 다른 빵들도 다 맛있어요!!
근처에 아파트도 있고 회사들이 많아서 오전인데도 빵이 절반은 없더라구요 ㅋㅋ 포장손님 정말 많아요 !!!!",2024-04-05 - 18:33:48
8,naver,1,파네트 광화문점,서울 종로구 사직로8길 24, 4.48," 1,595",juehhhhh,2.8.목,"서울에서 가장 애정하는 최애 빵집
오랜만에 가서 털어왔습니다❤️ 
역시 맛있어.. 혈관 짜릿해지는 짱맛도리 맛..🫶🏻
파네트 없이 못살아,,",2024-04-05 - 18:33:48
9,naver,1,파네트 광화문점,서울 종로구 사직로8길 24, 4.48," 1,595",소담7686,2.12.월,사직동빵집 파네트 빵인데 깜파뉴 빵 종류도 다양하고 커피와 어울릴빵도 많아 아침식사로 먹기 적당한빵 가져왔는데 오렌지쉬폰은 부드러웠고 대파빵은 특히 아주 맛있었답니다.,2024-04-05 - 18:33:48
10,naver,1,파네트 광화문점,서울 종로구 사직로8길 24, 4.48," 1,595",na-****,3.22.금,텃밭 깜빠뉴 너무 맛있어서 재방문했어요 선물용으로 몇개 더 샀네요! 근처에 빵 맛집이 있어서 좋아요,2024-04-05 - 18:33:48
11,naver,1,파네트 광화문점,서울 종로구 사직로8길 24, 4.48," 1,595",다이아나 베리,1.19.금,빵 종류도 많고 맛있어요~! 특히 크로아상은 버터 많이 들어간 맛이라 좋아하는 분들 많을 것 같네요🥰,2024-04-05 - 18:33:48
12,naver,1,파네트 광화문점,서울 종로구 사직로8길 24, 4.48," 1,595",Pko맘,23.10.19.목,다들 정말 칭찬하는 맛집은 그만한 이유가 있는거 같아요~ 정말 빵이 하나하나 너무 맛있고 고급지고 신선한 빵들의 천국입니다 ㅎㅎ 인테이어도 고급지고 직원분들도 친절하고 정말 빵맛집이에요 최고❤️,2024-04-05 - 18:33:48
13,naver,1,파네트 광화문점,서울 종로구 사직로8길 24, 4.48," 1,595",od****,1.10.수,작은 공간의 빵집인줄 알고 들어갔는데 빵종류가 엄청 다양해서 놀랐네요 ~~ 빵도 맛있고 커피도 맛있어서 흡입을 하게 된 광화문 빵맛집 파네트네요,2024-04-05 - 18:33:48
14,naver,1,파네트 광화문점,서울 종로구 사직로8길 24, 4.48," 1,595",바블의신나는세상,3.21.목,맛있는 빵집이에요,2024-04-05 - 18:33:48
15,naver,1,파네트 광화문점,서울 종로구 사직로8길 24, 4.48," 1,595",na-****,3.27.수,식사빵들이 참 맛있어요 2주연속 방문중입니다!,2024-04-05 - 18:33:48
16,naver,1,파네트 광화문점,서울 종로구 사직로8길 24, 4.48," 1,595",방에모기가,23.11.9.목,"밤파이 👍
라즈베리잼 스콘 👍
까눌레
호밀무화과

광화문 근처 맛집이래서 찾아가봤어요
가격대도 괜찮고 맛도 다 너무 좋아요 정성들여 만든게 느껴집니다 특히 밤파이는 속이 충실했고 스콘도 너무 퍽퍽하지도 밋밋하지도 않은게 좋았어요 😊
직원분들 친절은 기대하지 않는게 좋을거같습니다.. 뻘쭘..😅",2024-04-05 - 18:33:48
17,naver,1,파네트 광화문점,서울 종로구 사직로8길 24, 4.48," 1,595",과장된거없이솔직하게씀,3.7.목,빵 냄새가 무진장 좋아요 ㅎㅎ,2024-04-05 - 18:33:48
18,naver,1,파네트 광화문점,서울 종로구 사직로8길 24, 4.48," 1,595",oneNonly,1.5.금,"저녁시간에 갔더니 빵이 거의 남아있진 않았어요. 밤파이와 이탈리안 깜빠뉴(크기는 치아바타정도) 구매했는데, 오.. 여기 맛있습니다. 담엔 빵이 많은 시간에 와 봐야겠어요:)",2024-04-05 - 18:33:48
19,naver,1,파네트 광화문점,서울 종로구 사직로8길 24, 4.48," 1,595",April119,1.22.월,무화과 깜빠뉴만 일단 먹어봤는데 인생 무화과 깜빠뉴에요 무화과가 꽉 차서 빵이 무거울 정도에요 너무 맛있네요 나머지 빵들도 기대됩니다 서비스로 주신 올리브빵도 맛있게 먹었어요 자주 갈 것 같아요!,2024-04-05 - 18:33:48
20,naver,1,파네트 광화문점,서울 종로구 사직로8길 24, 4.48," 1,595",mjhealth,2.26.월,전에 큰 사이즈 샀는데 이번에 미니 있어서 구매~역시 맛있어요~^^,2024-04-05 - 18:33:48
21,naver,1,파네트 광화문점,서울 종로구 사직로8길 24, 4.48," 1,595",laimjung,23.12.31.일,빵종류도 많고 매장에서 3가지 종류의 빵 맛보고 만족해서 4개 더 골라서 포장까지 해왔어요~!,2024-04-05 - 18:33:48
22,naver,1,파네트 광화문점,서울 종로구 사직로8길 24, 4.48," 1,595",priestsmurf,3.21.목,"모찌모찌롤 맛있어요
그린올리브, 초코버터롤도 무난해요",2024-04-05 - 18:33:48
23,naver,1,파네트 광화문점,서울 종로구 사직로8길 24, 4.48," 1,595",myhyun1110,3.29.금,"2주만에 4번이나 들렀어요ㅎㅎ
깜빠뉴나 식사빵 종류들 너무 맛있어요",2024-04-05 - 18:33:48
24,naver,1,파네트 광화문점,서울 종로구 사직로8길 24, 4.48," 1,595",밍둥어야,3.8.금,"매장은 좁지만 빵 메뉴가 다양하구 어떤 걸 먹어도 다 맛있어욤!!!!
리뷰에 올라오는 빵메뉴들 말고 원하는 메뉴가 있다면 소신껏 고르세요 절대 배신하지 않는 빵집 🍞",2024-04-05 - 18:33:48
25,naver,1,파네트 광화문점,서울 종로구 사직로8길 24, 4.48," 1,595",광화문토박이,3.24.일,카운터에서 너무 불친해서 너무 깜짝 놀랐어요. 거의 소리지르듯 말씀 하시더라구요. 다신 안갈것같아요,2024-04-05 - 18:33:48
26,naver,1,파네트 광화문점,서울 종로구 사직로8길 24, 4.48," 1,595",이닿,3.8.금,"다른 빵 먹지 마시고, 깜빠뉴 드세요 꼭 !",2024-04-05 - 18:33:48
27,naver,1,파네트 광화문점,서울 종로구 사직로8길 24, 4.48," 1,595",Isaac7231,3.25.월,에그타르트 애플 파이 자주 먹는데 다른 빵들도 맛있어요👍,2024-04-05 - 18:33:48
28,naver,1,파네트 광화문점,서울 종로구 사직로8길 24, 4.48," 1,595",hjl****,1.29.월,마늘바게트 촉촉하고 맛있어요~!,2024-04-05 - 18:33:48
