,Platform,Number,Store,Address,Review_score,Review_counts,ID,Date,Review_text,Time
0,naver,1,로아상서울,서울 종로구 인사동3길 17-1, 4.81, 388,wendybaik,22.12.26.월,크로와상 맛집이라고해서 방문했는데 다른종류 빵도 맛있어보여서 이것저것 구매했어요ㅎㅎ 가격대는 있지만 그만큼 확실히 맛있는것같아요!! 빵 구매해서 바로 먹고싶었는데 테이크아웃만 되서 조금 아쉬운감은 있었어요ㅜㅜ,2024-04-06 - 10:19:41
1,naver,1,로아상서울,서울 종로구 인사동3길 17-1, 4.81, 388,휑뎅그렁,23.4.26.수,비싸지만 맛있어요~ 언뜻 보기엔 빵집인줄 몰라요~ ㅋㅋ 직원분들 친절하셔서 좋았어요~ 식재료들이 신 선하고 맛있는 것 같아요~ 비싸서 후덜덜했지...,2024-04-06 - 10:19:41
2,naver,1,로아상서울,서울 종로구 인사동3길 17-1, 4.81, 388,삐용짝누,23.1.30.월,"마지막 영업일에 처음 방문했는데
너무 친절하셔서 감동이였고 기분 좋았어요~
다 먹고나선 좀 더 많이 사올 걸! 
반년이나 기다려야 한다니 슬프네요ㅜㅜㅜ
딸기플랑 케이크는 집에오니 눅눅해져서 사서 바로 먹어야 맛있을거같아서 아쉬웠지만 카페에서 바로 먹었던 크로아상은 바삭바삭 맛있었어요~
할미입맛파인데 흑임자는 화이트초코가 섞인듯 좀 달았고 쑥크럼블이랑 애플파이가 넘 맛있었어요ㅜ
모양도 예쁜 요 애플파이가 원픽입니당♥︎
리뉴얼오픈 기다릴게요~",2024-04-06 - 10:19:41
3,naver,1,로아상서울,서울 종로구 인사동3길 17-1, 4.81, 388,zxc48,23.1.13.금,사장님이 친절하세요! 케이크는 쫌 비싸지만 시트도 맛있고 좋아요~ 저는 커피 바닐라 케이크 먹었습니다 플레인 크루아상두 너무 맛있습니다 종로 오면 또 올게요~,2024-04-06 - 10:19:41
4,naver,1,로아상서울,서울 종로구 인사동3길 17-1, 4.81, 388,복돼지7253,22.11.29.화,"저는 아몬드크루아상 보단 초코 크루아상이 더 특별하게 느껴졌어요! 아몬드는 기대가 컸어서 평범했던 것 같은데 맛은 괜찮았어요~
가격이 쎈편이라 자주못가도 종각에서 생각날 땐 갈 것 같아요!!
초코크루아상..따뜻한 라떼 조합이 짱입니당",2024-04-06 - 10:19:42
5,naver,1,로아상서울,서울 종로구 인사동3길 17-1, 4.81, 388,elinJ,22.11.1.화,"샤뽀 포레랑 블루, 로제 사갔었어요!
개인적으로 샤뽀 포레 진짜 너무 맛있었어요
녹차를 선호하기는해도 그렇게 엄청 막 좋아하는 스타일은 아닌데 향이랑 당도가 질린다는 느낌이 들지 않아서 더 좋았어요
외관이 흥미롭고 햇살이 좋아서 들어가봤다가 내부는 뭔가 나만 아는 베이커리 느낌이라 더 좋았어요",2024-04-06 - 10:19:42
6,naver,1,로아상서울,서울 종로구 인사동3길 17-1, 4.81, 388,표표콩,23.1.14.토,분위기 좋고 커피 맛있어요. 베이커리들도 맛있구요 👍🏻,2024-04-06 - 10:19:42
7,naver,1,로아상서울,서울 종로구 인사동3길 17-1, 4.81, 388,졸린눈하지마정신차려,23.1.19.목,"평일 오후 4시쯤 방문했는데도 빵이 많지는 않았습니다..😥
기분 크루아상과 크로크마담 포장해왔는데 크루아상 속 살이 쪼ㅏ아악 층도 너무 이뻤고.. 적당한 버터맛에 겉바속촉.. 크루아상 맛집 맞습니다👍",2024-04-06 - 10:19:42
8,naver,1,로아상서울,서울 종로구 인사동3길 17-1, 4.81, 388,HALLS30,22.12.19.월,매장이 깨끗하다. 포장이 예쁘다. 빵이 맛있다.,2024-04-06 - 10:19:42
9,naver,1,로아상서울,서울 종로구 인사동3길 17-1, 4.81, 388,타이트래블,23.1.24.화,이 카페에서 빵을 사서 주변 결이라는 카페에서 먹을 수 있다라고 안내해주셨는데 설날 오전이라 결 카페 가 오픈을 안 했네요 .빵 사기 전 안내해주셨으...,2024-04-06 - 10:19:42
