,Platform,Number,Store,Address,Review_score,Review_counts,ID,Date,Review_text,Time
0,naver,1,소문난오백빵,서울 종로구 창경궁로 88,, 174,딱따구리사랑,1.6.토,"종로에서 유명한 광장시장에서 맛 본 오백원빵^^
오백빵, 백원빵, 십원빵으로 이루어져 있어요.
동전종류마다 내용물 맛이 각색이예요.
딱따구리사랑은 치즈가 들어간 오백빵을 맛보았어요~
모짜렐라치즈가 듬뿍^^
맛있게 잘먹었답니다😎",2024-04-06 - 11:32:14
1,naver,1,소문난오백빵,서울 종로구 창경궁로 88,, 174,핑크사랑72,3.24.일,"광장시장 갔다가 십원빵 사먹었는데 맛있네요 
친절을 물건너 갔어요
친절은 바라지 마시고 가시면 실망 안합니다",2024-04-06 - 11:32:15
2,naver,1,소문난오백빵,서울 종로구 창경궁로 88,, 174,수호신88,2.14.수,"1.기본적인 분위기❤️❤️❤️
 외국인들이 줄을 길게 서 있다. 
 다들 넘버원을 먹는다.

2.음식❤️❤️❤️❤️ 
맛있다 안에 별거 안들어있는데 맛있었다.

3.서비스❤️❤️❤️❤️
종을 흔들어서 번호를 호명하신다.
영어를 엄청 잘하시진않지만 센스있으시다.

4.재방문의사 ❤️❤️
맛있었지만 다른 곳에서도 먹을 수 있을 맛이라
재방문의사는 별2개이다.

+내돈내산입니다🥰",2024-04-06 - 11:32:15
3,naver,1,소문난오백빵,서울 종로구 창경궁로 88,, 174,김씽v,2.24.토,"요즘유행하는빵
시장가서사봤네요~~
쌀로만들었다합니다

아이들이잘먹었어요",2024-04-06 - 11:32:15
4,naver,1,소문난오백빵,서울 종로구 창경궁로 88,, 174,천재일웅,2.18.일,종로가면 많이들 사먹더라고요.길거리 간식으로 1번쯤먹을만해요.음료도 나쁘지않아요,2024-04-06 - 11:32:15
5,naver,1,소문난오백빵,서울 종로구 창경궁로 88,, 174,윰줌마,3.2.토,치즈오백빵 꼭 드세요. 치즈대박~~~ 가득넣어주셔서 넘 좋아요,2024-04-06 - 11:32:15
6,naver,1,소문난오백빵,서울 종로구 창경궁로 88,, 174,sne****,2.18.일,"옆 골목에 있는 십원빵보다 훨씬 맛있습니다. 빵 자체
가 일단 맛있어요. 짱짱 갈 때마다 여러개 사서 얼려놨
다가 에프 돌려먹습니다!",2024-04-06 - 11:32:15
7,naver,1,소문난오백빵,서울 종로구 창경궁로 88,, 174,리뷰왕 으니,2.25.일,맛맀어요!! 저희동네보다 500원싸요:),2024-04-06 - 11:32:15
8,naver,1,소문난오백빵,서울 종로구 창경궁로 88,, 174,아방샤방42,1.26.금,"500원빵 치즈 가득 들어있는 거 먹었어요~~^^
아이가 맛있다고 하네요~~
주인부부님이 친절하셔서 기분 좋았어요~!
번창하세요~~!",2024-04-06 - 11:32:15
9,naver,1,소문난오백빵,서울 종로구 창경궁로 88,, 174,먹기위해운동하는여자,23.11.3.금,소문난오백빵 동전가격에 따라 맛이 다른! 4가지 맛이 있어요 전 치즈가 쫘르륵~ 오백빵을 주문했어요 가족 들 주기 위해 박스 포장래 왔어요 겉은 바삭하...,2024-04-06 - 11:32:15
10,naver,1,소문난오백빵,서울 종로구 창경궁로 88,, 174,전대사랑,3.10.일,"동전모양의 빵일뿐 다른것은 모르겠네요
팥빵은 그냥 붕어빵 같아요",2024-04-06 - 11:32:15
11,naver,1,소문난오백빵,서울 종로구 창경궁로 88,, 174,치치맨,2.2.금,광장시장 오백빵 맛있어요! 간식으로 먹을 만 하네요!,2024-04-06 - 11:32:16
12,naver,1,소문난오백빵,서울 종로구 창경궁로 88,, 174,말숙이집사,23.11.4.토,"치즈랑 초코로 먹었어요! 
초코맛은 따뜻한 초코소라빵 먹는 느낌이에요! 
치즈는 모짜렐라라 잘 늘어나서 좋았어요! 전체적으로 쪼금 밍밍하지만 중간중간 짭짤하게 체다맛이 올라와요! 뇸뇸뇸 먹기 좋습니당",2024-04-06 - 11:32:16
13,naver,1,소문난오백빵,서울 종로구 창경궁로 88,, 174,그미3139,23.12.31.일,여기가 유명한 그 집은 아닌데 맛은 거기서 거기.,2024-04-06 - 11:32:16
14,naver,1,소문난오백빵,서울 종로구 창경궁로 88,, 174,아이리스6875,1.30.화,치즈넣은거 너무 맛있어요,2024-04-06 - 11:32:16
15,naver,1,소문난오백빵,서울 종로구 창경궁로 88,, 174,ffoxx,23.12.27.수,치즈랑 빵 좋아하는 사람이면 맛있을 거예요!,2024-04-06 - 11:32:16
16,naver,1,소문난오백빵,서울 종로구 창경궁로 88,, 174,신선선,1.20.토,맛이 궁금하면 500원,2024-04-06 - 11:32:16
17,naver,1,소문난오백빵,서울 종로구 창경궁로 88,, 174,수빈쌈,1.13.토,"오백빵 먹었어요 치즈들은~
맛있어요 
담엔 팥 먹을래요",2024-04-06 - 11:32:16
18,naver,1,소문난오백빵,서울 종로구 창경궁로 88,, 174,커리커리604,1.26.금,이렇게 맛있는 십원빵 처음 먹어봤어요~ 광장시장 가시면 꼭 드세요!!,2024-04-06 - 11:32:16
19,naver,1,소문난오백빵,서울 종로구 창경궁로 88,, 174,nice1017day,23.11.4.토,"우리쌀 동전빵 
굽자마자 바로 먹었더니 맛있어요",2024-04-06 - 11:32:16
20,naver,1,소문난오백빵,서울 종로구 창경궁로 88,, 174,아이스크리무,23.11.11.토,"오백빵 맛있어요~
팥 안좋아하는데 오백빵에는 치즈만 있어서 맛있게 먹었어요",2024-04-06 - 11:32:16
21,naver,1,소문난오백빵,서울 종로구 창경궁로 88,, 174,lhr****,2.8.목,,2024-04-06 - 11:32:16
22,naver,1,소문난오백빵,서울 종로구 창경궁로 88,, 174,cielso,23.11.23.목,치즈가 쭉쭉 늘어나고 맛있어요,2024-04-06 - 11:32:17
23,naver,1,소문난오백빵,서울 종로구 창경궁로 88,, 174,행복동간다,23.12.25.월,3천원으로 살짝 비싼감은 있지만 추억쌓기^^,2024-04-06 - 11:32:17
24,naver,1,소문난오백빵,서울 종로구 창경궁로 88,, 174,뽀잇,23.11.4.토,특이해서 구매해봤어요 여러가지맛이 있지만 전 치즈들어간게 제일 맛있었어요,2024-04-06 - 11:32:17
25,naver,1,소문난오백빵,서울 종로구 창경궁로 88,, 174,또또007,23.11.12.일,"피자맛 백원빵이 특히 맛나요
호다닥 먹고 맛있어서 또 사먹었어요",2024-04-06 - 11:32:17
26,naver,1,소문난오백빵,서울 종로구 창경궁로 88,, 174,은공주다,23.10.6.금,"십원빵 처음 먹어보는데 넘 맛있구
친절하고 빠르게 주셔서 감삼당",2024-04-06 - 11:32:17
27,naver,1,소문난오백빵,서울 종로구 창경궁로 88,, 174,예삐눈나,3.1.금,굿,2024-04-06 - 11:32:17
28,naver,1,소문난오백빵,서울 종로구 창경궁로 88,, 174,친절한토토씨,23.12.13.수,치즈가 쫙쫙 너무 재미있어요.,2024-04-06 - 11:32:17
29,naver,1,소문난오백빵,서울 종로구 창경궁로 88,, 174,32o1,23.11.19.일,맛있어요!그리고 조아하는 한라봉 천혜향 주스도 함께 살 수있어서 좋았어요,2024-04-06 - 11:32:17
