,Platform,Number,Store,Address,Review_score,Review_counts,ID,Date,Review_text,Time
0,naver,1,로스터리카페 요정,서울 중구 을지로 54-1 지하상가2호, 4.31, 221,Dajeeling31,2.27.화,지하철 역안에 있어서 처음엔 테이크아웃만 가능한 줄 알았는데 매장 자리가 작게 있었어요~ 음료도 맛있었고 친절해서 좋았어요~! 핸드드립커피도 직접 로스팅 하여 만든거라 향이 좋아 여러개 사왔네요. 영업시간이 짧아 아쉽지만 회사가 인근에 있어 가능한 시간대에 자주 들를수 있어 좋았어요!,2024-04-07 - 23:21:43
1,naver,1,로스터리카페 요정,서울 중구 을지로 54-1 지하상가2호, 4.31, 221,Denver93,1.19.금,을지로입구역 로스터리카페요정 커피 디저트 다 맛있어요! 아인슈패너 존맛,2024-04-07 - 23:21:43
2,naver,1,로스터리카페 요정,서울 중구 을지로 54-1 지하상가2호, 4.31, 221,유리4343,23.12.7.목,을지로입구 직장인 가성비 카페입니다! 아침에 모닝세트도 있고 커피가 맛있어요. 사장님 너무나 친절하셔서 아침에 출근할때 꼭 커피사서 출근합니다.,2024-04-07 - 23:21:43
3,naver,1,로스터리카페 요정,서울 중구 을지로 54-1 지하상가2호, 4.31, 221,세레아,2.20.화,꽤 단맛이 나쁘지 않았습니다~,2024-04-07 - 23:21:43
4,naver,1,로스터리카페 요정,서울 중구 을지로 54-1 지하상가2호, 4.31, 221,TAEEE22,23.9.18.월,"2호선 을지로입구역에 쉼터같은 카페, 로스터리요정! 따뜻한 밀크티랑 버터크림라떼랑 휘낭시에랑 오트밀쿠키 주문했어요. 너무 맛있어요. 아기자기하고 아늑한 분위기에 부드러운 커피맛이 일품이에요. 점심시간에 잠시 들렀는데 너무 힐링되네요. 을지로 로스터리 카페, 을지로입구역에 서식중인, 요정🙂👍",2024-04-07 - 23:21:43
5,naver,1,로스터리카페 요정,서울 중구 을지로 54-1 지하상가2호, 4.31, 221,별모래48,1.11.목,지나가다 커피향에 이끌려(?) 구매했어요 ㅎㅎ 무난하게 먹기 좋아요,2024-04-07 - 23:21:43
6,naver,1,로스터리카페 요정,서울 중구 을지로 54-1 지하상가2호, 4.31, 221,탱7788,23.9.14.목,지하철역 안에 이렇게 예쁜 카페가 있다니! 베이글이랑 각종 디저트 가격도 저렴하고 맛있어서 가성비가 좋아요. 모히또랑 망고주스 먹었는데 찐 망고를 진짜 갈아주셔서 달지 않고 맛있었어요. 여름에 먹는 모히또는 말모말모 🫶🍋 앉는 자리도 있고 카페도 예쁘고 대화하기에도 좋은 카페입니다 👍,2024-04-07 - 23:21:43
7,naver,1,로스터리카페 요정,서울 중구 을지로 54-1 지하상가2호, 4.31, 221,Jay4121,23.11.29.수,"을지로입구역 안이 들어오면
진한 커피 향이 나는 곳이 바로 이곳 로스터리요정이에요
거의 매일 지나다니면서 저기 가보고 싶다고 했던 곳인데
이제와서 맛 보내요",2024-04-07 - 23:21:43
8,naver,1,로스터리카페 요정,서울 중구 을지로 54-1 지하상가2호, 4.31, 221,수요미88,23.9.19.화,"다들 지친 하루를 시작하기 전에 을지로입구역 카페에 들러서 간단하게 커피 테이크아웃해가세요!
아침에 급하게 나오느라 간단히 먹을 빵이랑 커피랑 샀는데 요정때문에 아침이 행복해졌어요...❤️
사장님이 추천해주신 크림빵은 추천해주시는 이유가 있네요🫶
퍽퍽한 빵도 아니고 크림도 가득 들어있어서 아메리카노랑 완전 찰떡궁합입니다
덥고 힘든 화요일 아침을 덕분에 시원한 아이스아메리카노로 힐링하고 시작합니당!",2024-04-07 - 23:21:43
9,naver,1,로스터리카페 요정,서울 중구 을지로 54-1 지하상가2호, 4.31, 221,per****,23.8.24.목,"출구쪽에 있어 찾기 쉽고
베이커리가 다양하게 준비되어 있어 좋았습니다.
에그샌드위치도 이천원밖에 안하는데 맛있어요.
아침에 든든하게 먹을 수 있어 좋았습니다.
커피맛도 다른 프랜차이즈보다 훨씬 낫구요.",2024-04-07 - 23:21:43
