,Platform,Number,Store,Address,Review_score,Review_counts,ID,Date,Review_text,Time
0,naver,1,파리바게뜨 남산점,"서울 중구 다산로 32 남산타운아파트 4상가 105호, 106호", 4.47, 625,koo****,2.8.목,빵도 맛있고 커피도 맛나요,2024-04-08 - 00:46:29
1,naver,1,파리바게뜨 남산점,"서울 중구 다산로 32 남산타운아파트 4상가 105호, 106호", 4.47, 625,혼밥대식가,3.25.월,케잌사러 다녀왔습니다,2024-04-08 - 00:46:29
2,naver,1,파리바게뜨 남산점,"서울 중구 다산로 32 남산타운아파트 4상가 105호, 106호", 4.47, 625,귀족35,2.5.월,바리바게트 팥들어 있는 찹살도넛이 최고,2024-04-08 - 00:46:29
3,naver,1,파리바게뜨 남산점,"서울 중구 다산로 32 남산타운아파트 4상가 105호, 106호", 4.47, 625,koo****,1.20.토,선물용 구매했어요 친절하고 좋아요,2024-04-08 - 00:46:29
4,naver,1,파리바게뜨 남산점,"서울 중구 다산로 32 남산타운아파트 4상가 105호, 106호", 4.47, 625,커피와 빵,1.31.수,"남산타운아파트 단지내 있는곳이라
이용하기 편하네요",2024-04-08 - 00:46:29
5,naver,1,파리바게뜨 남산점,"서울 중구 다산로 32 남산타운아파트 4상가 105호, 106호", 4.47, 625,아인2021,2.21.수,좋아요!,2024-04-08 - 00:46:29
6,naver,1,파리바게뜨 남산점,"서울 중구 다산로 32 남산타운아파트 4상가 105호, 106호", 4.47, 625,초코판다,23.11.25.토,유우식빵으로 샌드위치 만들어 먹으면 맛있어요.,2024-04-08 - 00:46:29
7,naver,1,파리바게뜨 남산점,"서울 중구 다산로 32 남산타운아파트 4상가 105호, 106호", 4.47, 625,귀족35,23.12.7.목,흑당호떡 맛나요,2024-04-08 - 00:46:29
8,naver,1,파리바게뜨 남산점,"서울 중구 다산로 32 남산타운아파트 4상가 105호, 106호", 4.47, 625,라헤지스,2.12.월,빵이 맛 있습니다.,2024-04-08 - 00:46:29
9,naver,1,파리바게뜨 남산점,"서울 중구 다산로 32 남산타운아파트 4상가 105호, 106호", 4.47, 625,Hahaha7560,1.21.일,"살빵이 없다
.....",2024-04-08 - 00:46:29
10,naver,1,파리바게뜨 남산점,"서울 중구 다산로 32 남산타운아파트 4상가 105호, 106호", 4.47, 625,koo****,23.10.26.목,빵이 맛있어요 굿굿,2024-04-08 - 00:46:30
11,naver,1,파리바게뜨 남산점,"서울 중구 다산로 32 남산타운아파트 4상가 105호, 106호", 4.47, 625,혼밥대식가,23.12.23.토,자주가는 동네빵집입니다,2024-04-08 - 00:46:30
12,naver,1,파리바게뜨 남산점,"서울 중구 다산로 32 남산타운아파트 4상가 105호, 106호", 4.47, 625,껌딱지90,1.5.금,ㅇ,2024-04-08 - 00:46:30
13,naver,1,파리바게뜨 남산점,"서울 중구 다산로 32 남산타운아파트 4상가 105호, 106호", 4.47, 625,구르밍80,23.10.21.토,친절하시고 좋아요!,2024-04-08 - 00:46:30
14,naver,1,파리바게뜨 남산점,"서울 중구 다산로 32 남산타운아파트 4상가 105호, 106호", 4.47, 625,밍스,23.12.2.토,자주 이용하는 곳이에요. 맛있는 빵이 많아요.,2024-04-08 - 00:46:30
15,naver,1,파리바게뜨 남산점,"서울 중구 다산로 32 남산타운아파트 4상가 105호, 106호", 4.47, 625,엄마힘내요,23.12.13.수,좋아요,2024-04-08 - 00:46:30
16,naver,1,파리바게뜨 남산점,"서울 중구 다산로 32 남산타운아파트 4상가 105호, 106호", 4.47, 625,초코판다,23.8.7.월,"카카오프렌즈 슬리핑 브라운 구매했어요.
작지만 비싸네요. ㅎㅎ",2024-04-08 - 00:46:30
17,naver,1,파리바게뜨 남산점,"서울 중구 다산로 32 남산타운아파트 4상가 105호, 106호", 4.47, 625,nam****,23.12.15.금,굿,2024-04-08 - 00:46:30
18,naver,1,파리바게뜨 남산점,"서울 중구 다산로 32 남산타운아파트 4상가 105호, 106호", 4.47, 625,엄마힘내요,23.11.18.토,좋아요!,2024-04-08 - 00:46:30
19,naver,1,파리바게뜨 남산점,"서울 중구 다산로 32 남산타운아파트 4상가 105호, 106호", 4.47, 625,koo****,23.8.9.수,빵도 맛있고 친절해요,2024-04-08 - 00:46:30
20,naver,1,파리바게뜨 남산점,"서울 중구 다산로 32 남산타운아파트 4상가 105호, 106호", 4.47, 625,엄마힘내요,23.10.23.월,좋아요!,2024-04-08 - 00:46:30
21,naver,1,파리바게뜨 남산점,"서울 중구 다산로 32 남산타운아파트 4상가 105호, 106호", 4.47, 625,ajy****,23.7.11.화,"남산타운 아파트 근처 파리바게트 매장입니다. 응대
해주시는 사장님 정말 친절하세요. 포인트 행사 이런 
곳도 알려주세요. 다양한 빵들을 항상 구입하...",2024-04-08 - 00:46:30
22,naver,1,파리바게뜨 남산점,"서울 중구 다산로 32 남산타운아파트 4상가 105호, 106호", 4.47, 625,traum122,1.20.토,굿,2024-04-08 - 00:46:30
23,naver,1,파리바게뜨 남산점,"서울 중구 다산로 32 남산타운아파트 4상가 105호, 106호", 4.47, 625,koo****,23.5.18.목,상품도 다양하고 친절해서 좋아요,2024-04-08 - 00:46:30
24,naver,1,파리바게뜨 남산점,"서울 중구 다산로 32 남산타운아파트 4상가 105호, 106호", 4.47, 625,마삔,23.2.28.화,갓 나오니 맛있구만 맛있구만🥐🥐🥐~🤎,2024-04-08 - 00:46:30
25,naver,1,파리바게뜨 남산점,"서울 중구 다산로 32 남산타운아파트 4상가 105호, 106호", 4.47, 625,koo****,23.6.14.수,빵도 맛있고 좋아요,2024-04-08 - 00:46:30
26,naver,1,파리바게뜨 남산점,"서울 중구 다산로 32 남산타운아파트 4상가 105호, 106호", 4.47, 625,엄마힘내요,23.9.11.월,좋아요!,2024-04-08 - 00:46:30
27,naver,1,파리바게뜨 남산점,"서울 중구 다산로 32 남산타운아파트 4상가 105호, 106호", 4.47, 625,엄마힘내요,23.9.8.금,좋아요!,2024-04-08 - 00:46:30
28,naver,1,파리바게뜨 남산점,"서울 중구 다산로 32 남산타운아파트 4상가 105호, 106호", 4.47, 625,엄마힘내요,23.9.7.목,좋아요!,2024-04-08 - 00:46:31
29,naver,1,파리바게뜨 남산점,"서울 중구 다산로 32 남산타운아파트 4상가 105호, 106호", 4.47, 625,베니틸다,23.8.24.목,좋아요,2024-04-08 - 00:46:31
30,naver,1,파리바게뜨 남산점,"서울 중구 다산로 32 남산타운아파트 4상가 105호, 106호", 4.47, 625,전국을돌아다녀요,23.12.19.화,굿,2024-04-08 - 00:46:31
31,naver,1,파리바게뜨 남산점,"서울 중구 다산로 32 남산타운아파트 4상가 105호, 106호", 4.47, 625,마삔,23.2.17.금,"새로 나온 ‘쫀득 고소한 추억의 찰깨빵’ 나오자마자 냠
냠 말그대로 쫀득하고 고소한 찰떡 빵! 단짠의 맛을 
생각했지만 단맛이 아닌 짭짤의 찰깨빵이었다.",2024-04-08 - 00:46:31
32,naver,1,파리바게뜨 남산점,"서울 중구 다산로 32 남산타운아파트 4상가 105호, 106호", 4.47, 625,엄마힘내요,23.8.28.월,좋아요!,2024-04-08 - 00:46:31
33,naver,1,파리바게뜨 남산점,"서울 중구 다산로 32 남산타운아파트 4상가 105호, 106호", 4.47, 625,jsy38828,23.8.15.화,조아요,2024-04-08 - 00:46:31
34,naver,1,파리바게뜨 남산점,"서울 중구 다산로 32 남산타운아파트 4상가 105호, 106호", 4.47, 625,FFlo,23.5.9.화,친절하신데..제품이 좀 더 다양했으면 합니다.,2024-04-08 - 00:46:31
35,naver,1,파리바게뜨 남산점,"서울 중구 다산로 32 남산타운아파트 4상가 105호, 106호", 4.47, 625,귀족35,23.5.17.수,빵과 샐러드 모두 신선하고 맛나요,2024-04-08 - 00:46:31
36,naver,1,파리바게뜨 남산점,"서울 중구 다산로 32 남산타운아파트 4상가 105호, 106호", 4.47, 625,더나은내일,23.2.20.월,이사 가기 전에 태권도장에 마지막으로 인사드리려고 들러서 관장님 선물과 사범님들 간식을 구매했어요. 사장님이 친절하셔서 종종 갈 때 마다 기분 좋아요!,2024-04-08 - 00:46:31
37,naver,1,파리바게뜨 남산점,"서울 중구 다산로 32 남산타운아파트 4상가 105호, 106호", 4.47, 625,cdi****,23.11.24.금,귀리빵 맛있어용~~,2024-04-08 - 00:46:31
38,naver,1,파리바게뜨 남산점,"서울 중구 다산로 32 남산타운아파트 4상가 105호, 106호", 4.47, 625,koo****,23.4.7.금,맛있게 잘 먹었습니다 감사합니다,2024-04-08 - 00:46:31
39,naver,1,파리바게뜨 남산점,"서울 중구 다산로 32 남산타운아파트 4상가 105호, 106호", 4.47, 625,엄마힘내요,23.6.9.금,단지내 방문하기 편리해요.,2024-04-08 - 00:46:31
40,naver,1,파리바게뜨 남산점,"서울 중구 다산로 32 남산타운아파트 4상가 105호, 106호", 4.47, 625,JS7793,23.7.5.수,"👍
친절하세요",2024-04-08 - 00:46:31
41,naver,1,파리바게뜨 남산점,"서울 중구 다산로 32 남산타운아파트 4상가 105호, 106호", 4.47, 625,koo****,23.3.31.금,맛있고 크기도 적당합니다,2024-04-08 - 00:46:31
42,naver,1,파리바게뜨 남산점,"서울 중구 다산로 32 남산타운아파트 4상가 105호, 106호", 4.47, 625,jsy38828,23.7.28.금,굿,2024-04-08 - 00:46:31
43,naver,1,파리바게뜨 남산점,"서울 중구 다산로 32 남산타운아파트 4상가 105호, 106호", 4.47, 625,어깨동무1,23.10.4.수,좋아요,2024-04-08 - 00:46:31
