,Platform,Number,Store,Address,Review_score,Review_counts,ID,Date,Review_text,Time
0,naver,1,배고팡 장안동점,서울 동대문구 한천로 90, 4.16, 498,솜사탕1387,2.4.일,"지나가다가 옛날.빵집 생각하고 들어가

봤는데 기격도 착하지도 그럭 저럭 이네요",2024-04-08 - 00:51:09
1,naver,1,배고팡 장안동점,서울 동대문구 한천로 90, 4.16, 498,BBHYUN,2.2.금,"빵이 맛있고, 쫄깃쫄깃해요. 만원 쟁반도 좋아요~",2024-04-08 - 00:51:09
2,naver,1,배고팡 장안동점,서울 동대문구 한천로 90, 4.16, 498,78m****,23.5.6.토,"가격도 저렴하고 케익도 미니사이즈도있고 종류도 다양해요.
프랜차이즈빵집에서 볼수없는 빵도 있어 좋아요",2024-04-08 - 00:51:09
3,naver,1,배고팡 장안동점,서울 동대문구 한천로 90, 4.16, 498,러러어라,23.11.25.토,굳,2024-04-08 - 00:51:09
4,naver,1,배고팡 장안동점,서울 동대문구 한천로 90, 4.16, 498,윤잔,23.7.15.토,"맜있음
엄청 친절하진 않으심",2024-04-08 - 00:51:09
5,naver,1,배고팡 장안동점,서울 동대문구 한천로 90, 4.16, 498,제이슨3854,23.6.1.목,여기 생크림롤 좋아합니다,2024-04-08 - 00:51:09
6,naver,1,배고팡 장안동점,서울 동대문구 한천로 90, 4.16, 498,진이284,23.11.4.토,굿,2024-04-08 - 00:51:09
7,naver,1,배고팡 장안동점,서울 동대문구 한천로 90, 4.16, 498,파아란하늘1310,23.8.25.금,굿~,2024-04-08 - 00:51:09
8,naver,1,배고팡 장안동점,서울 동대문구 한천로 90, 4.16, 498,ddd5468,23.5.2.화,냥,2024-04-08 - 00:51:09
9,naver,1,배고팡 장안동점,서울 동대문구 한천로 90, 4.16, 498,ksw****,23.6.13.화,친절,2024-04-08 - 00:51:09
10,naver,1,배고팡 장안동점,서울 동대문구 한천로 90, 4.16, 498,fba****,23.9.2.토,굿,2024-04-08 - 00:51:09
11,naver,1,배고팡 장안동점,서울 동대문구 한천로 90, 4.16, 498,ddd5468,23.4.13.목,냠,2024-04-08 - 00:51:09
12,naver,1,배고팡 장안동점,서울 동대문구 한천로 90, 4.16, 498,ㅏ80,23.5.9.화,ㆍ,2024-04-08 - 00:51:09
13,naver,1,배고팡 장안동점,서울 동대문구 한천로 90, 4.16, 498,디디젤로,22.12.24.토,"맛있는 고구마케익이었어요~
덕분에 생일 잘 보냈습니다:)",2024-04-08 - 00:51:09
14,naver,1,배고팡 장안동점,서울 동대문구 한천로 90, 4.16, 498,원더우먼7799,23.4.15.토,맛있어요,2024-04-08 - 00:51:10
15,naver,1,배고팡 장안동점,서울 동대문구 한천로 90, 4.16, 498,너나달퐁,22.12.24.토,바게뜨 2천원ㅜㅜ 혼자 앉은자리 순삭입니다. 소금빵도사갔는데 어머니도 넘 좋ㅇㅏ하셔요ㅜㅜ굿굿 집앞에 있어 행복해요ㅅ,2024-04-08 - 00:51:10
16,naver,1,배고팡 장안동점,서울 동대문구 한천로 90, 4.16, 498,genius67,23.1.9.월,예전보다는 가격이 많이 올랐지만 맛있어요.,2024-04-08 - 00:51:10
17,naver,1,배고팡 장안동점,서울 동대문구 한천로 90, 4.16, 498,fjjffjjj,23.1.30.월,빵 정말 맛있어요,2024-04-08 - 00:51:10
18,naver,1,배고팡 장안동점,서울 동대문구 한천로 90, 4.16, 498,fjjffjjj,22.10.29.토,"오늘도 집에 들어가는길에 옥수수식빵을 사서 가요. 맛있거든요.
샌드위치용으로는 이것보다 큰것 네모난모양의 식빵이 좋습니다. 요건 그냥 뜯어먹는용.",2024-04-08 - 00:51:10
19,naver,1,배고팡 장안동점,서울 동대문구 한천로 90, 4.16, 498,gir****,23.4.21.금,맛있어요,2024-04-08 - 00:51:10
20,naver,1,배고팡 장안동점,서울 동대문구 한천로 90, 4.16, 498,물어왈,23.4.18.화,"ㅠ빵에서 이물질 나왔어요.
자주 이용했는데 이번에 처음 나오긴 했네요ㅠ",2024-04-08 - 00:51:10
21,naver,1,배고팡 장안동점,서울 동대문구 한천로 90, 4.16, 498,파아란하늘1310,23.6.28.수,굿~,2024-04-08 - 00:51:10
22,naver,1,배고팡 장안동점,서울 동대문구 한천로 90, 4.16, 498,옷가게25,23.3.16.목,맛있어요,2024-04-08 - 00:51:10
