,Platform,Number,Store,Address,Review_score,Review_counts,ID,Date,Review_text,Time
0,naver,3,울할매빵집,서울 서대문구 신촌로 185-2 신촌박스퀘어,, 30,리린100,4.4.목,할머니께서 햄도 장갑없이 손으로 집어서 구우시고 메뉴도 헷갈리셔서 당황스러웠습니다;; 치즈? 햄? 카 드! 이렇게만 말씀하시고요 토스트 맛은 무난...,2024-04-07 - 19:56:28
1,naver,3,울할매빵집,서울 서대문구 신촌로 185-2 신촌박스퀘어,, 30,됴디곰,3.12.화,맛있고 사장님이 친절해요!,2024-04-07 - 19:56:28
2,naver,3,울할매빵집,서울 서대문구 신촌로 185-2 신촌박스퀘어,, 30,립퓨,23.11.17.금,싸고 맛있어요 옛날 토스트맛,2024-04-07 - 19:56:28
3,naver,3,울할매빵집,서울 서대문구 신촌로 185-2 신촌박스퀘어,, 30,lovemack,23.4.27.목,"컵밥에 고추장이없어요‥ ㅠㅡ
고추장따로주시면 좋을듯",2024-04-07 - 19:56:28
4,naver,3,울할매빵집,서울 서대문구 신촌로 185-2 신촌박스퀘어,, 30,금나뮤,23.10.19.목,굿!!!!!!👍,2024-04-07 - 19:56:28
5,naver,3,울할매빵집,서울 서대문구 신촌로 185-2 신촌박스퀘어,, 30,뭐로하지23,23.5.6.토,굿,2024-04-07 - 19:56:28
6,naver,3,울할매빵집,서울 서대문구 신촌로 185-2 신촌박스퀘어,, 30,ellie17,23.3.4.토,좋아요,2024-04-07 - 19:56:28
7,naver,3,울할매빵집,서울 서대문구 신촌로 185-2 신촌박스퀘어,, 30,eun****,22.10.6.목,친절하시구 맛있어요!,2024-04-07 - 19:56:28
8,naver,3,울할매빵집,서울 서대문구 신촌로 185-2 신촌박스퀘어,, 30,lib****,22.9.8.목,굿,2024-04-07 - 19:56:28
9,naver,3,울할매빵집,서울 서대문구 신촌로 185-2 신촌박스퀘어,, 30,bra****,22.7.16.토,굿,2024-04-07 - 19:56:28
10,naver,4,블랑제리,서울 서대문구 통일로 484 유진상가 롯데슈퍼내 블랑제리,, 13,girin22,23.1.5.목,우연히 들렀는데 빵이 맛있어요~,2024-04-07 - 19:56:38
11,naver,4,블랑제리,서울 서대문구 통일로 484 유진상가 롯데슈퍼내 블랑제리,, 13,lovehs3623,20.12.18.금,괜찮았어요,2024-04-07 - 19:56:38
12,naver,6,만쥬벌판,서울 서대문구 충정로2가 138, 4.17, 45,deu****,22.5.6.금,.,2024-04-07 - 19:57:05
13,naver,6,만쥬벌판,서울 서대문구 충정로2가 138, 4.17, 45,릴리KHJ,21.4.12.월,만쥬도 맛있지만 옥수수도 맛있는 집이예요^^,2024-04-07 - 19:57:05
14,naver,6,만쥬벌판,서울 서대문구 충정로2가 138, 4.17, 45,ISSO,21.3.17.수,아주머니친절하시구 참치김밥맛나요,2024-04-07 - 19:57:05
15,naver,6,만쥬벌판,서울 서대문구 충정로2가 138, 4.17, 45,youngsuh0202,21.4.8.목,좋아요,2024-04-07 - 19:57:05
16,naver,6,만쥬벌판,서울 서대문구 충정로2가 138, 4.17, 45,똥글이3491,21.3.10.수,좋아요.,2024-04-07 - 19:57:05
17,naver,6,만쥬벌판,서울 서대문구 충정로2가 138, 4.17, 45,rh****,21.1.8.금,친절하고 너무 좋아요,2024-04-07 - 19:57:05
18,naver,6,만쥬벌판,서울 서대문구 충정로2가 138, 4.17, 45,두몫님,21.1.8.금,좋아요,2024-04-07 - 19:57:05
19,naver,6,만쥬벌판,서울 서대문구 충정로2가 138, 4.17, 45,xuys0723,20.9.26.토,델리만쥬 맛나요~,2024-04-07 - 19:57:05
20,naver,6,만쥬벌판,서울 서대문구 충정로2가 138, 4.17, 45,EhHJ,21.1.27.수,최고~~~^^,2024-04-07 - 19:57:05
21,naver,6,만쥬벌판,서울 서대문구 충정로2가 138, 4.17, 45,sel****,20.9.24.목,맛있어요,2024-04-07 - 19:57:05
22,naver,13,퍼스트브래드 북가좌점,서울 서대문구 증가로20길 68-53, 4.32, 460,잉어공주97,23.10.10.화,"모닝빵이 진짜 맛있어요
버터향 많이 나고 폭신쫀득해요
뚜쥬보다 맛있어요",2024-04-07 - 19:59:03
23,naver,13,퍼스트브래드 북가좌점,서울 서대문구 증가로20길 68-53, 4.32, 460,삐삐5114,23.10.17.화,저렴하고 맛있습니다,2024-04-07 - 19:59:04
24,naver,13,퍼스트브래드 북가좌점,서울 서대문구 증가로20길 68-53, 4.32, 460,디메피스,23.10.16.월,자주 방문할게요 :),2024-04-07 - 19:59:04
25,naver,13,퍼스트브래드 북가좌점,서울 서대문구 증가로20길 68-53, 4.32, 460,뿡뿡이6157,23.9.20.수,동네에 작은 빵집이지만 맛있고 친절합니다,2024-04-07 - 19:59:04
26,naver,13,퍼스트브래드 북가좌점,서울 서대문구 증가로20길 68-53, 4.32, 460,s9****,2.23.금,맛있어요,2024-04-07 - 19:59:04
27,naver,13,퍼스트브래드 북가좌점,서울 서대문구 증가로20길 68-53, 4.32, 460,s9****,23.12.27.수,동네 가성비 좋은 빵집,2024-04-07 - 19:59:04
28,naver,13,퍼스트브래드 북가좌점,서울 서대문구 증가로20길 68-53, 4.32, 460,디메피스,23.9.6.수,자주 방문할게요 :),2024-04-07 - 19:59:04
29,naver,13,퍼스트브래드 북가좌점,서울 서대문구 증가로20길 68-53, 4.32, 460,디메피스,23.9.2.토,자주 방문할게요 :),2024-04-07 - 19:59:04
30,naver,13,퍼스트브래드 북가좌점,서울 서대문구 증가로20길 68-53, 4.32, 460,디메피스,23.8.24.목,자주 방문할게요 :),2024-04-07 - 19:59:04
31,naver,13,퍼스트브래드 북가좌점,서울 서대문구 증가로20길 68-53, 4.32, 460,디메피스,23.8.17.목,자주 방문할게요 :),2024-04-07 - 19:59:04
32,naver,13,퍼스트브래드 북가좌점,서울 서대문구 증가로20길 68-53, 4.32, 460,디메피스,23.8.12.토,자주 방문할게요 :),2024-04-07 - 19:59:04
33,naver,13,퍼스트브래드 북가좌점,서울 서대문구 증가로20길 68-53, 4.32, 460,뽀겸하느리맘,23.8.24.목,빵이맛잇어요~,2024-04-07 - 19:59:04
34,naver,13,퍼스트브래드 북가좌점,서울 서대문구 증가로20길 68-53, 4.32, 460,s9****,23.11.16.목,동네빵집,2024-04-07 - 19:59:04
35,naver,13,퍼스트브래드 북가좌점,서울 서대문구 증가로20길 68-53, 4.32, 460,잉어공주97,23.7.14.금,저렴하고 빵이 맛있어요,2024-04-07 - 19:59:04
36,naver,13,퍼스트브래드 북가좌점,서울 서대문구 증가로20길 68-53, 4.32, 460,짠함65,23.8.13.일,굿,2024-04-07 - 19:59:04
37,naver,13,퍼스트브래드 북가좌점,서울 서대문구 증가로20길 68-53, 4.32, 460,잉어공주97,23.4.11.화,"저렴하고 매일 빵을 만드셔서 신선하구 아침 일찍부
터 열어서 좋아요!! 오전 6시 부터 오픈하셔요 중간에 
쉬는 시간 가지고 또 오후 오픈하십니당",2024-04-07 - 19:59:04
38,naver,13,퍼스트브래드 북가좌점,서울 서대문구 증가로20길 68-53, 4.32, 460,랄라미8,23.6.7.수,사장님이 자주 서비스로 빵 맛보기로 주셔서 감사할따름 ㅜ,2024-04-07 - 19:59:04
39,naver,13,퍼스트브래드 북가좌점,서울 서대문구 증가로20길 68-53, 4.32, 460,s9****,23.9.21.목,좋아요,2024-04-07 - 19:59:04
40,naver,13,퍼스트브래드 북가좌점,서울 서대문구 증가로20길 68-53, 4.32, 460,잉어공주97,23.4.5.수,"가성비 좋은 동네 빵집이에요!
아침 일찍 열어서 좋아여",2024-04-07 - 19:59:04
41,naver,13,퍼스트브래드 북가좌점,서울 서대문구 증가로20길 68-53, 4.32, 460,로라 현블리,23.3.30.목,동네 빵집 맛있어요,2024-04-07 - 19:59:04
42,naver,13,퍼스트브래드 북가좌점,서울 서대문구 증가로20길 68-53, 4.32, 460,안젤리나쥬얼리,23.3.2.목,곡물꽈배기 너무 맛있어요,2024-04-07 - 19:59:04
43,naver,13,퍼스트브래드 북가좌점,서울 서대문구 증가로20길 68-53, 4.32, 460,IntroLena,23.4.24.월,생도넛 맛있어요,2024-04-07 - 19:59:04
44,naver,13,퍼스트브래드 북가좌점,서울 서대문구 증가로20길 68-53, 4.32, 460,BlAckWAtEr,23.6.27.화,조아요,2024-04-07 - 19:59:04
45,naver,13,퍼스트브래드 북가좌점,서울 서대문구 증가로20길 68-53, 4.32, 460,BlAckWAtEr,23.6.21.수,조아요,2024-04-07 - 19:59:04
46,naver,13,퍼스트브래드 북가좌점,서울 서대문구 증가로20길 68-53, 4.32, 460,짱난,23.5.18.목,굿,2024-04-07 - 19:59:04
47,naver,13,퍼스트브래드 북가좌점,서울 서대문구 증가로20길 68-53, 4.32, 460,안젤리나쥬얼리,23.3.4.토,"공사가 다 끝났는지 모르겠네요.
지난주에 갔는데 못사고 와서 아쉬워요",2024-04-07 - 19:59:04
48,naver,13,퍼스트브래드 북가좌점,서울 서대문구 증가로20길 68-53, 4.32, 460,뽀겸하느리맘,23.3.16.목,모닝빵 샀는데 맛이좋네요^^,2024-04-07 - 19:59:04
49,naver,13,퍼스트브래드 북가좌점,서울 서대문구 증가로20길 68-53, 4.32, 460,뽀겸하느리맘,23.4.10.월,모닝빵 맛있어요,2024-04-07 - 19:59:04
50,naver,13,퍼스트브래드 북가좌점,서울 서대문구 증가로20길 68-53, 4.32, 460,BlAckWAtEr,23.6.5.월,조아요,2024-04-07 - 19:59:04
51,naver,13,퍼스트브래드 북가좌점,서울 서대문구 증가로20길 68-53, 4.32, 460,츄츄의 일지,22.10.5.수,팥앙금에 쫄깃한 찹쌀이 들어간 모찌야끼(2번째 사진) 종종 먹으러 가는 곳🥰 영수증 리뷰는 처음 올리지만 빵도 맛있고 가격대도 다른 곳에 비하면 싼편이라 3~4년째 생각나면 꼭 들릴려고 하는! 빵집입니다. 여기 식빵이랑 두툼한 꽈배기도 추천합니다👍👍👍👍 가게가 크지는 않아 포장만 가능하고 휴무는 화요일입니다 참고하고 가시길 바랍니다!,2024-04-07 - 19:59:04
52,naver,13,퍼스트브래드 북가좌점,서울 서대문구 증가로20길 68-53, 4.32, 460,BlAckWAtEr,23.5.19.금,조아요,2024-04-07 - 19:59:04
53,naver,13,퍼스트브래드 북가좌점,서울 서대문구 증가로20길 68-53, 4.32, 460,BlAckWAtEr,23.5.11.목,조아요,2024-04-07 - 19:59:04
54,naver,13,퍼스트브래드 북가좌점,서울 서대문구 증가로20길 68-53, 4.32, 460,뿡뿡이6157,23.2.8.수,빵이맛있어요~,2024-04-07 - 19:59:05
55,naver,13,퍼스트브래드 북가좌점,서울 서대문구 증가로20길 68-53, 4.32, 460,삐삐5114,23.4.2.일,맛있습니다,2024-04-07 - 19:59:05
56,naver,13,퍼스트브래드 북가좌점,서울 서대문구 증가로20길 68-53, 4.32, 460,삐삐5114,23.1.12.목,아주 친절해요,2024-04-07 - 19:59:05
57,naver,13,퍼스트브래드 북가좌점,서울 서대문구 증가로20길 68-53, 4.32, 460,변우쿠숑,22.12.8.목,완전 맛있습니다 특히 소보로,2024-04-07 - 19:59:05
58,naver,13,퍼스트브래드 북가좌점,서울 서대문구 증가로20길 68-53, 4.32, 460,뿡뿡이6157,23.1.25.수,맛있어요~~~,2024-04-07 - 19:59:05
59,naver,13,퍼스트브래드 북가좌점,서울 서대문구 증가로20길 68-53, 4.32, 460,즐살행살,22.12.11.일,우연히 방문 한곳으로 기대이상 맛이 있었고 주인 내외분이 너무 친절 했습니다,2024-04-07 - 19:59:05
60,naver,13,퍼스트브래드 북가좌점,서울 서대문구 증가로20길 68-53, 4.32, 460,BlAckWAtEr,23.3.14.화,조아요,2024-04-07 - 19:59:05
61,naver,13,퍼스트브래드 북가좌점,서울 서대문구 증가로20길 68-53, 4.32, 460,songbly53,23.1.7.토,종류가 많아요,2024-04-07 - 19:59:05
62,naver,13,퍼스트브래드 북가좌점,서울 서대문구 증가로20길 68-53, 4.32, 460,mis****,23.1.6.금,맛있게 잘 먹고 갑니다,2024-04-07 - 19:59:05
63,naver,13,퍼스트브래드 북가좌점,서울 서대문구 증가로20길 68-53, 4.32, 460,BlAckWAtEr,23.3.2.목,조아요,2024-04-07 - 19:59:05
