,Platform,Number,Store,Address,Review_score,Review_counts,ID,Date,Review_text,Time
0,naver,1,매머드커피 장교빌딩점,서울 중구 삼일대로 363 1층 매머드커피, 4.33, 694,emmac,3.26.화,"항상 사람이 너무 많아요 
미리 앱으로 시켜놓고 찾아야해요",2024-04-08 - 00:16:56
1,naver,1,매머드커피 장교빌딩점,서울 중구 삼일대로 363 1층 매머드커피, 4.33, 694,AMILY65,3.19.화,굿,2024-04-08 - 00:16:56
2,naver,1,매머드커피 장교빌딩점,서울 중구 삼일대로 363 1층 매머드커피, 4.33, 694,Moon9u,2.20.화,굳,2024-04-08 - 00:16:56
3,naver,1,매머드커피 장교빌딩점,서울 중구 삼일대로 363 1층 매머드커피, 4.33, 694,날씨맑음69,1.17.수,가격과 맛 모두 잡은 가게 입니다. 자주 이용하는 카페 입니다.,2024-04-08 - 00:16:56
4,naver,1,매머드커피 장교빌딩점,서울 중구 삼일대로 363 1층 매머드커피, 4.33, 694,eunjung510,1.24.수,점심먹고 갔습니다~,2024-04-08 - 00:16:56
5,naver,1,매머드커피 장교빌딩점,서울 중구 삼일대로 363 1층 매머드커피, 4.33, 694,jmpuppy,3.13.수,좋아요,2024-04-08 - 00:16:56
6,naver,1,매머드커피 장교빌딩점,서울 중구 삼일대로 363 1층 매머드커피, 4.33, 694,mir09,2.1.목,굿,2024-04-08 - 00:16:56
7,naver,1,매머드커피 장교빌딩점,서울 중구 삼일대로 363 1층 매머드커피, 4.33, 694,고니11111,1.3.수,커피 맛있어요,2024-04-08 - 00:16:56
8,naver,1,매머드커피 장교빌딩점,서울 중구 삼일대로 363 1층 매머드커피, 4.33, 694,Bk10,23.12.5.화,가성비좋아용,2024-04-08 - 00:16:56
9,naver,1,매머드커피 장교빌딩점,서울 중구 삼일대로 363 1층 매머드커피, 4.33, 694,압도적,1.22.월,좋아요,2024-04-08 - 00:16:56
10,naver,1,매머드커피 장교빌딩점,서울 중구 삼일대로 363 1층 매머드커피, 4.33, 694,미식가인척하는잡식가,23.5.8.월,"항상 사람 많고 북적거리는데 마셔보니 이유가 있네요 
샌드위치 엄청 저렴한 가격에 든든하게 한끼 때울 수 있고 청계천 바로 앞이라서 날좋을 때 산책하기도 좋아요 🎶 가성비 좋고 커피맛 좋아서 자주가게 될 듯해용 !",2024-04-08 - 00:16:56
11,naver,1,매머드커피 장교빌딩점,서울 중구 삼일대로 363 1층 매머드커피, 4.33, 694,topheesook,1.4.목,빨라요,2024-04-08 - 00:16:56
12,naver,1,매머드커피 장교빌딩점,서울 중구 삼일대로 363 1층 매머드커피, 4.33, 694,sook507,1.4.목,친절해요,2024-04-08 - 00:16:56
13,naver,1,매머드커피 장교빌딩점,서울 중구 삼일대로 363 1층 매머드커피, 4.33, 694,날씨맑음69,23.11.23.목,가성비 좋은 음료샵이에요,2024-04-08 - 00:16:56
14,naver,1,매머드커피 장교빌딩점,서울 중구 삼일대로 363 1층 매머드커피, 4.33, 694,universal59,23.12.15.금,좋아용ㅋ,2024-04-08 - 00:16:56
15,naver,1,매머드커피 장교빌딩점,서울 중구 삼일대로 363 1층 매머드커피, 4.33, 694,보름달9396,23.11.8.수,친절합니다,2024-04-08 - 00:16:56
16,naver,1,매머드커피 장교빌딩점,서울 중구 삼일대로 363 1층 매머드커피, 4.33, 694,뿌예뿌,2.8.목,굿,2024-04-08 - 00:16:56
17,naver,1,매머드커피 장교빌딩점,서울 중구 삼일대로 363 1층 매머드커피, 4.33, 694,하늘4245,23.7.12.수,끼리 치즈케익스틱 파는데 짱맛있음 얼려서 팔아서 아이스크림처럼 먹으면 천국행^_^,2024-04-08 - 00:16:56
18,naver,1,매머드커피 장교빌딩점,서울 중구 삼일대로 363 1층 매머드커피, 4.33, 694,뿌예뿌,2.6.화,굿,2024-04-08 - 00:16:56
19,naver,1,매머드커피 장교빌딩점,서울 중구 삼일대로 363 1층 매머드커피, 4.33, 694,dda****,23.11.24.금,굿,2024-04-08 - 00:16:56
20,naver,1,매머드커피 장교빌딩점,서울 중구 삼일대로 363 1층 매머드커피, 4.33, 694,011****,23.11.30.목,굿,2024-04-08 - 00:16:56
21,naver,1,매머드커피 장교빌딩점,서울 중구 삼일대로 363 1층 매머드커피, 4.33, 694,맛가성비인스타순으로,23.8.16.수,바로 길건너에 있는 매머드커피보다 아아메가 훨 비싸용 ㅎㅎ…왜그런지 모르겠어여,2024-04-08 - 00:16:56
22,naver,1,매머드커피 장교빌딩점,서울 중구 삼일대로 363 1층 매머드커피, 4.33, 694,고니11111,23.12.6.수,굿,2024-04-08 - 00:16:56
23,naver,1,매머드커피 장교빌딩점,서울 중구 삼일대로 363 1층 매머드커피, 4.33, 694,바닐라라떼2323,23.8.1.화,가성비 있어요. 매장은 정신 없어요~,2024-04-08 - 00:16:56
24,naver,1,매머드커피 장교빌딩점,서울 중구 삼일대로 363 1층 매머드커피, 4.33, 694,매니저9090,23.10.23.월,아주 좋아요!,2024-04-08 - 00:16:56
25,naver,1,매머드커피 장교빌딩점,서울 중구 삼일대로 363 1층 매머드커피, 4.33, 694,냠키,23.10.23.월,아주 좋아요!,2024-04-08 - 00:16:56
26,naver,1,매머드커피 장교빌딩점,서울 중구 삼일대로 363 1층 매머드커피, 4.33, 694,찐디자인,23.9.26.화,주문이쉬움,2024-04-08 - 00:16:56
