,Store,cluster,cluster_labeling
0,5센소커피충무로점,0,평범해요~
1,79파운야드을지로3가점,0,평범해요~
2,AboutBagel,1,빵이 맛있어요!
3,Cre8,0,평범해요~
4,ERICKAYSER,1,빵이 맛있어요!
5,KSPOT수국전망대카페,0,평범해요~
6,가까운빵,1,빵이 맛있어요!
7,가배도시청점,0,평범해요~
8,강성은명과롯데백화점본점,2,가성비 맛집이에요!
9,고려당,2,가성비 맛집이에요!
10,고르드명동점,0,평범해요~
11,곤트란쉐리에뉴서울호텔점,0,평범해요~
12,곤트란쉐리에신당점,1,빵이 맛있어요!
13,그라츠과자점,0,평범해요~
14,그랑프리,0,평범해요~
15,그래인스쿠키롯데백화점본점,0,평범해요~
16,뀌숑,0,평범해요~
17,나폴레옹과자점신세계백화점본점,1,빵이 맛있어요!
18,낙원커피,0,평범해요~
19,넬보스코남촌빵집,0,평범해요~
20,노보텔앰배서더서울동대문더델리,2,가성비 맛집이에요!
21,노티드종각하이커,0,평범해요~
22,다람쥐곳간,0,평범해요~
23,단미쌀디저트,1,빵이 맛있어요!
24,달콤한위로신세계백화점본점,0,평범해요~
25,더스팟패뷸러스,2,가성비 맛집이에요!
26,더피앤비,0,평범해요~
27,더하우스1932,0,평범해요~
28,데쏘필동점,0,평범해요~
29,델리델리,0,평범해요~
30,델리카트슨,0,평범해요~
31,델리카한스롯데호텔서울,0,평범해요~
32,도향촌,0,평범해요~
33,돌돌,1,빵이 맛있어요!
34,동대문크레페,0,평범해요~
35,디어스베이커리신당점,0,평범해요~
36,떡빵앗간,1,빵이 맛있어요!
37,라운드앤드,0,평범해요~
38,라운디드,0,평범해요~
39,러시아케이크,0,평범해요~
40,레스까르고,0,평범해요~
41,로스터리카페요정,0,평범해요~
42,롤링핀동대문DDP점,0,평범해요~
43,롯데호텔서울델리카한스,0,평범해요~
44,루시카토신세계본점,0,평범해요~
45,르메르디앙서울명동르물랑,0,평범해요~
46,르빵명동성당점,0,평범해요~
47,리에제와플더뷰,0,평범해요~
48,마리웨일237커피플러스마카롱회현역점,0,평범해요~
49,마호가니SFC점,0,평범해요~
50,마호가니광화문케이스퀘어시티점,0,평범해요~
51,매머드커피장교빌딩점,0,평범해요~
52,매치,0,평범해요~
53,명동나비,3,풍경과 분위기가 좋아요!
54,명동양과,0,평범해요~
55,모구모구과자점인신당,2,가성비 맛집이에요!
56,몬떼비서울서소문점,0,평범해요~
57,몽상클레르반얀트리점,0,평범해요~
58,몽슈슈롯데백화점본점,1,빵이 맛있어요!
59,반얀트리클럽&스파서울델리앤,0,평범해요~
60,밤부베이커리&브루잉동대문,0,평범해요~
61,버터핑거팬케익스L7명동점,0,평범해요~
62,버터힐,2,가성비 맛집이에요!
63,버터힐키친,1,빵이 맛있어요!
64,베이커리스티치,0,평범해요~
65,베이커리텐,1,빵이 맛있어요!
66,베이커리텐신세계본점,2,가성비 맛집이에요!
67,베이크롯데백화점본점,1,빵이 맛있어요!
68,베이크신세계본점,0,평범해요~
69,베이킹아지트,1,빵이 맛있어요!
70,베카롱베이글,0,평범해요~
71,북촌유기농명인단팥빵안국점,0,평범해요~
72,북촌유기농밀명인단팥빵서울역점,1,빵이 맛있어요!
73,브랑제리본점,2,가성비 맛집이에요!
74,브레댄코동대입구역점,0,평범해요~
75,브레댄코을지로입구역점,0,평범해요~
76,브레댄코청구역점,0,평범해요~
77,브레드51,2,가성비 맛집이에요!
